community cards of this round: ['D9', 'CA', 'DJ', 'C3', 'C4']
name: baseline1, hole_card: ['C9', 'ST']
name: b09605039, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['C9', 'ST']
name: b09605039, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['C9', 'ST']
name: b09605039, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['C9', 'ST']
name: b09605039, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['C9', 'ST']
name: b09605039, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['C9', 'ST']
name: b09605039, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['C9', 'ST']
name: b09605039, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['C9', 'ST']
name: b09605039, hole_card: ['D7', 'SA']
name: baseline1, hole_card: ['C9', 'ST']
name: b09605039, hole_card: ['D7', 'SA']
community cards of this round: ['DJ', 'C5', 'CQ', 'H9', 'SJ']
name: baseline1, hole_card: ['H8', 'DK']
name: b09605039, hole_card: ['C3', 'H4']
name: baseline1, hole_card: ['H8', 'DK']
name: b09605039, hole_card: ['C3', 'H4']
name: baseline1, hole_card: ['H8', 'DK']
name: b09605039, hole_card: ['C3', 'H4']
name: baseline1, hole_card: ['H8', 'DK']
name: b09605039, hole_card: ['C3', 'H4']
community cards of this round: ['C4', 'S9', 'S2', 'C7', 'SA']
name: baseline1, hole_card: ['DQ', 'CT']
name: b09605039, hole_card: ['D6', 'S5']
name: baseline1, hole_card: ['DQ', 'CT']
name: b09605039, hole_card: ['D6', 'S5']
name: baseline1, hole_card: ['DQ', 'CT']
name: b09605039, hole_card: ['D6', 'S5']
community cards of this round: ['C2', 'SJ', 'DA', 'S6', 'C8']
name: baseline1, hole_card: ['CJ', 'DK']
name: b09605039, hole_card: ['SQ', 'H6']
name: baseline1, hole_card: ['CJ', 'DK']
name: b09605039, hole_card: ['SQ', 'H6']
name: baseline1, hole_card: ['CJ', 'DK']
