community cards of this round: ['H4', 'SJ', 'S3', 'CT', 'CA']
name: baseline1, hole_card: ['S5', 'DA']
name: b09701214, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['S5', 'DA']
name: b09701214, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['S5', 'DA']
name: b09701214, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['S5', 'DA']
name: b09701214, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['S5', 'DA']
name: b09701214, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['S5', 'DA']
name: b09701214, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['S5', 'DA']
name: b09701214, hole_card: ['S2', 'SK']
name: baseline1, hole_card: ['S5', 'DA']
name: b09701214, hole_card: ['S2', 'SK']
community cards of this round: ['H8', 'CT', 'H7', 'CJ', 'C2']
name: baseline1, hole_card: ['HK', 'D6']
name: b09701214, hole_card: ['SJ', 'D4']
name: baseline1, hole_card: ['HK', 'D6']
name: b09701214, hole_card: ['SJ', 'D4']
name: baseline1, hole_card: ['HK', 'D6']
name: b09701214, hole_card: ['SJ', 'D4']
name: baseline1, hole_card: ['HK', 'D6']
name: b09701214, hole_card: ['SJ', 'D4']
name: baseline1, hole_card: ['HK', 'D6']
name: b09701214, hole_card: ['SJ', 'D4']
name: baseline1, hole_card: ['HK', 'D6']
name: b09701214, hole_card: ['SJ', 'D4']
name: baseline1, hole_card: ['HK', 'D6']
name: b09701214, hole_card: ['SJ', 'D4']
name: baseline1, hole_card: ['HK', 'D6']
name: b09701214, hole_card: ['SJ', 'D4']
community cards of this round: ['DJ', 'HT', 'H2', 'S5', 'SA']
name: baseline1, hole_card: ['C5', 'D6']
name: b09701214, hole_card: ['DA', 'C7']
name: baseline1, hole_card: ['C5', 'D6']
name: b09701214, hole_card: ['DA', 'C7']
community cards of this round: ['CA', 'HK', 'D8', 'H7', 'D6']
name: baseline1, hole_card: ['DJ', 'C5']
name: b09701214, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['DJ', 'C5']
name: b09701214, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['DJ', 'C5']
name: b09701214, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['DJ', 'C5']
name: b09701214, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['DJ', 'C5']
name: b09701214, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['DJ', 'C5']
name: b09701214, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['DJ', 'C5']
name: b09701214, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['DJ', 'C5']
name: b09701214, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['DJ', 'C5']
name: b09701214, hole_card: ['D4', 'C9']
community cards of this round: ['DK', 'D9', 'C5', 'DA', 'H2']
name: baseline1, hole_card: ['DQ', 'C9']
name: b09701214, hole_card: ['D2', 'CJ']
name: baseline1, hole_card: ['DQ', 'C9']
name: b09701214, hole_card: ['D2', 'CJ']
name: baseline1, hole_card: ['DQ', 'C9']
name: b09701214, hole_card: ['D2', 'CJ']
name: baseline1, hole_card: ['DQ', 'C9']
name: b09701214, hole_card: ['D2', 'CJ']
name: baseline1, hole_card: ['DQ', 'C9']
name: b09701214, hole_card: ['D2', 'CJ']
name: baseline1, hole_card: ['DQ', 'C9']
name: b09701214, hole_card: ['D2', 'CJ']
name: baseline1, hole_card: ['DQ', 'C9']
name: b09701214, hole_card: ['D2', 'CJ']
name: baseline1, hole_card: ['DQ', 'C9']
name: b09701214, hole_card: ['D2', 'CJ']
name: baseline1, hole_card: ['DQ', 'C9']
name: b09701214, hole_card: ['D2', 'CJ']
community cards of this round: ['C4', 'H6', 'CK', 'SQ', 'D6']
name: baseline1, hole_card: ['H3', 'D7']
name: b09701214, hole_card: ['CJ', 'H8']
name: baseline1, hole_card: ['H3', 'D7']
name: b09701214, hole_card: ['CJ', 'H8']
