community cards of this round: ['C8', 'H6', 'D8', 'D7', 'DQ']
name: baseline1, hole_card: ['C7', 'H3']
name: b09901028, hole_card: ['C3', 'DK']
name: baseline1, hole_card: ['C7', 'H3']
name: b09901028, hole_card: ['C3', 'DK']
name: baseline1, hole_card: ['C7', 'H3']
name: b09901028, hole_card: ['C3', 'DK']
name: baseline1, hole_card: ['C7', 'H3']
name: b09901028, hole_card: ['C3', 'DK']
name: baseline1, hole_card: ['C7', 'H3']
name: b09901028, hole_card: ['C3', 'DK']
name: baseline1, hole_card: ['C7', 'H3']
name: b09901028, hole_card: ['C3', 'DK']
name: baseline1, hole_card: ['C7', 'H3']
name: b09901028, hole_card: ['C3', 'DK']
name: baseline1, hole_card: ['C7', 'H3']
name: b09901028, hole_card: ['C3', 'DK']
name: baseline1, hole_card: ['C7', 'H3']
name: b09901028, hole_card: ['C3', 'DK']
community cards of this round: ['SQ', 'C7', 'DT', 'H8', 'CJ']
name: baseline1, hole_card: ['HT', 'DJ']
name: b09901028, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['HT', 'DJ']
name: b09901028, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['HT', 'DJ']
name: b09901028, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['HT', 'DJ']
name: b09901028, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['HT', 'DJ']
name: b09901028, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['HT', 'DJ']
name: b09901028, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['HT', 'DJ']
name: b09901028, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['HT', 'DJ']
name: b09901028, hole_card: ['D4', 'C9']
name: baseline1, hole_card: ['HT', 'DJ']
name: b09901028, hole_card: ['D4', 'C9']
community cards of this round: ['H9', 'H2', 'CA', 'S4', 'D5']
name: baseline1, hole_card: ['C8', 'C2']
name: b09901028, hole_card: ['D8', 'S7']
name: baseline1, hole_card: ['C8', 'C2']
name: b09901028, hole_card: ['D8', 'S7']
name: baseline1, hole_card: ['C8', 'C2']
name: b09901028, hole_card: ['D8', 'S7']
