community cards of this round: ['HA', 'H3', 'H9', 'D4', 'C6']
name: baseline1, hole_card: ['CT', 'S4']
name: b10202024, hole_card: ['DA', 'D6']
name: baseline1, hole_card: ['CT', 'S4']
name: b10202024, hole_card: ['DA', 'D6']
name: baseline1, hole_card: ['CT', 'S4']
name: b10202024, hole_card: ['DA', 'D6']
name: baseline1, hole_card: ['CT', 'S4']
name: b10202024, hole_card: ['DA', 'D6']
name: baseline1, hole_card: ['CT', 'S4']
name: b10202024, hole_card: ['DA', 'D6']
community cards of this round: ['CA', 'HK', 'H5', 'HJ', 'DJ']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
name: baseline1, hole_card: ['H2', 'SK']
name: b10202024, hole_card: ['D7', 'ST']
community cards of this round: ['S5', 'H7', 'CQ', 'C5', 'C3']
name: baseline1, hole_card: ['H3', 'C6']
name: b10202024, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['H3', 'C6']
name: b10202024, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['H3', 'C6']
name: b10202024, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['H3', 'C6']
name: b10202024, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['H3', 'C6']
name: b10202024, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['H3', 'C6']
name: b10202024, hole_card: ['D9', 'S6']
name: baseline1, hole_card: ['H3', 'C6']
name: b10202024, hole_card: ['D9', 'S6']
community cards of this round: ['H3', 'C9', 'SQ', 'D7', 'S7']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
name: baseline1, hole_card: ['D8', 'C3']
name: b10202024, hole_card: ['HA', 'H5']
community cards of this round: ['H5', 'H6', 'C2', 'H7', 'S9']
name: baseline1, hole_card: ['CQ', 'DQ']
name: b10202024, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CQ', 'DQ']
name: b10202024, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CQ', 'DQ']
name: b10202024, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CQ', 'DQ']
name: b10202024, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CQ', 'DQ']
name: b10202024, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CQ', 'DQ']
name: b10202024, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CQ', 'DQ']
name: b10202024, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CQ', 'DQ']
name: b10202024, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CQ', 'DQ']
name: b10202024, hole_card: ['S5', 'DJ']
community cards of this round: ['H4', 'D7', 'HT', 'SK', 'HA']
name: baseline1, hole_card: ['C8', 'ST']
name: b10202024, hole_card: ['S3', 'D8']
name: baseline1, hole_card: ['C8', 'ST']
name: b10202024, hole_card: ['S3', 'D8']
name: baseline1, hole_card: ['C8', 'ST']
name: b10202024, hole_card: ['S3', 'D8']
name: baseline1, hole_card: ['C8', 'ST']
name: b10202024, hole_card: ['S3', 'D8']
name: baseline1, hole_card: ['C8', 'ST']
name: b10202024, hole_card: ['S3', 'D8']
community cards of this round: ['HA', 'HQ', 'H8', 'DT', 'S2']
name: baseline1, hole_card: ['S9', 'ST']
name: b10202024, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['S9', 'ST']
name: b10202024, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['S9', 'ST']
name: b10202024, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['S9', 'ST']
name: b10202024, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['S9', 'ST']
name: b10202024, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['S9', 'ST']
name: b10202024, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['S9', 'ST']
name: b10202024, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['S9', 'ST']
name: b10202024, hole_card: ['DK', 'H3']
name: baseline1, hole_card: ['S9', 'ST']
name: b10202024, hole_card: ['DK', 'H3']
community cards of this round: ['C5', 'C4', 'H2', 'ST', 'SQ']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
name: baseline1, hole_card: ['S6', 'H4']
name: b10202024, hole_card: ['S7', 'H7']
community cards of this round: ['DT', 'D6', 'H5', 'S3', 'CK']
name: baseline1, hole_card: ['D9', 'HJ']
name: b10202024, hole_card: ['S5', 'D3']
name: baseline1, hole_card: ['D9', 'HJ']
name: b10202024, hole_card: ['S5', 'D3']
community cards of this round: ['D2', 'S4', 'HJ', 'D6', 'D7']
name: baseline1, hole_card: ['SA', 'H2']
name: b10202024, hole_card: ['S3', 'D8']
name: baseline1, hole_card: ['SA', 'H2']
name: b10202024, hole_card: ['S3', 'D8']
name: baseline1, hole_card: ['SA', 'H2']
name: b10202024, hole_card: ['S3', 'D8']
community cards of this round: ['ST', 'H4', 'CT', 'C3', 'SJ']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10202024, hole_card: ['S9', 'DJ']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10202024, hole_card: ['S9', 'DJ']
community cards of this round: ['S5', 'C2', 'CJ', 'HA', 'H6']
name: baseline1, hole_card: ['HQ', 'C6']
name: b10202024, hole_card: ['D8', 'ST']
name: baseline1, hole_card: ['HQ', 'C6']
name: b10202024, hole_card: ['D8', 'ST']
name: baseline1, hole_card: ['HQ', 'C6']
name: b10202024, hole_card: ['D8', 'ST']
community cards of this round: ['C4', 'CK', 'SJ', 'DJ', 'C5']
name: baseline1, hole_card: ['CJ', 'DQ']
name: b10202024, hole_card: ['HA', 'C9']
name: baseline1, hole_card: ['CJ', 'DQ']
name: b10202024, hole_card: ['HA', 'C9']
community cards of this round: ['H7', 'C7', 'D4', 'S4', 'SJ']
name: baseline1, hole_card: ['CA', 'C5']
name: b10202024, hole_card: ['H5', 'DA']
name: baseline1, hole_card: ['CA', 'C5']
name: b10202024, hole_card: ['H5', 'DA']
name: baseline1, hole_card: ['CA', 'C5']
name: b10202024, hole_card: ['H5', 'DA']
community cards of this round: ['CQ', 'SK', 'D3', 'D2', 'C4']
name: baseline1, hole_card: ['D6', 'D5']
name: b10202024, hole_card: ['S7', 'C8']
name: baseline1, hole_card: ['D6', 'D5']
name: b10202024, hole_card: ['S7', 'C8']
community cards of this round: ['H5', 'D5', 'D9', 'CT', 'S7']
name: baseline1, hole_card: ['S2', 'H6']
name: b10202024, hole_card: ['H2', 'D4']
name: baseline1, hole_card: ['S2', 'H6']
name: b10202024, hole_card: ['H2', 'D4']
name: baseline1, hole_card: ['S2', 'H6']
name: b10202024, hole_card: ['H2', 'D4']
community cards of this round: ['HK', 'HQ', 'D5', 'H3', 'C7']
name: baseline1, hole_card: ['H9', 'S7']
name: b10202024, hole_card: ['S3', 'CA']
name: baseline1, hole_card: ['H9', 'S7']
