蛤蛤蛤我是誰我在哪
community cards of this round: ['H7', 'S4', 'D6', 'DT', 'D5']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['SQ', 'DK']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['SQ', 'DK']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['SQ', 'DK']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['SQ', 'DK']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['SQ', 'DK']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['SQ', 'DK']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['SQ', 'DK']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['SQ', 'DK']
name: baseline1, hole_card: ['DJ', 'HA']
name: b10204022, hole_card: ['SQ', 'DK']
community cards of this round: ['D8', 'S9', 'H9', 'H5', 'DA']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
name: baseline1, hole_card: ['H4', 'C4']
name: b10204022, hole_card: ['SJ', 'H6']
community cards of this round: ['S7', 'SJ', 'D3', 'S5', 'CJ']
name: baseline1, hole_card: ['DT', 'S8']
name: b10204022, hole_card: ['D6', 'S2']
name: baseline1, hole_card: ['DT', 'S8']
name: b10204022, hole_card: ['D6', 'S2']
name: baseline1, hole_card: ['DT', 'S8']
name: b10204022, hole_card: ['D6', 'S2']
name: baseline1, hole_card: ['DT', 'S8']
name: b10204022, hole_card: ['D6', 'S2']
name: baseline1, hole_card: ['DT', 'S8']
name: b10204022, hole_card: ['D6', 'S2']
name: baseline1, hole_card: ['DT', 'S8']
name: b10204022, hole_card: ['D6', 'S2']
name: baseline1, hole_card: ['DT', 'S8']
name: b10204022, hole_card: ['D6', 'S2']
name: baseline1, hole_card: ['DT', 'S8']
name: b10204022, hole_card: ['D6', 'S2']
name: baseline1, hole_card: ['DT', 'S8']
name: b10204022, hole_card: ['D6', 'S2']
community cards of this round: ['S2', 'HJ', 'HQ', 'H6', 'DK']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
name: baseline1, hole_card: ['D4', 'S4']
name: b10204022, hole_card: ['H4', 'CT']
community cards of this round: ['S5', 'CK', 'SQ', 'S9', 'D8']
name: baseline1, hole_card: ['CT', 'S8']
name: b10204022, hole_card: ['H8', 'C8']
name: baseline1, hole_card: ['CT', 'S8']
name: b10204022, hole_card: ['H8', 'C8']
name: baseline1, hole_card: ['CT', 'S8']
name: b10204022, hole_card: ['H8', 'C8']
name: baseline1, hole_card: ['CT', 'S8']
name: b10204022, hole_card: ['H8', 'C8']
name: baseline1, hole_card: ['CT', 'S8']
name: b10204022, hole_card: ['H8', 'C8']
name: baseline1, hole_card: ['CT', 'S8']
name: b10204022, hole_card: ['H8', 'C8']
name: baseline1, hole_card: ['CT', 'S8']
name: b10204022, hole_card: ['H8', 'C8']
name: baseline1, hole_card: ['CT', 'S8']
name: b10204022, hole_card: ['H8', 'C8']
name: baseline1, hole_card: ['CT', 'S8']
name: b10204022, hole_card: ['H8', 'C8']
community cards of this round: ['S8', 'C4', 'D6', 'C5', 'S3']
name: baseline1, hole_card: ['D3', 'C3']
name: b10204022, hole_card: ['SJ', 'H9']
name: baseline1, hole_card: ['D3', 'C3']
name: b10204022, hole_card: ['SJ', 'H9']
name: baseline1, hole_card: ['D3', 'C3']
name: b10204022, hole_card: ['SJ', 'H9']
community cards of this round: ['ST', 'H8', 'HJ', 'DT', 'C2']
name: baseline1, hole_card: ['CQ', 'C3']
name: b10204022, hole_card: ['SQ', 'S3']
name: baseline1, hole_card: ['CQ', 'C3']
name: b10204022, hole_card: ['SQ', 'S3']
community cards of this round: ['C3', 'CQ', 'C7', 'DA', 'S8']
name: baseline1, hole_card: ['H4', 'HK']
name: b10204022, hole_card: ['D6', 'S5']
name: baseline1, hole_card: ['H4', 'HK']
name: b10204022, hole_card: ['D6', 'S5']
name: baseline1, hole_card: ['H4', 'HK']
name: b10204022, hole_card: ['D6', 'S5']
community cards of this round: ['HQ', 'S8', 'D2', 'HA', 'D9']
name: baseline1, hole_card: ['SA', 'DJ']
name: b10204022, hole_card: ['S5', 'C2']
name: baseline1, hole_card: ['SA', 'DJ']
name: b10204022, hole_card: ['S5', 'C2']
community cards of this round: ['H3', 'H4', 'C2', 'C3', 'D4']
name: baseline1, hole_card: ['S8', 'C6']
name: b10204022, hole_card: ['D6', 'C8']
name: baseline1, hole_card: ['S8', 'C6']
name: b10204022, hole_card: ['D6', 'C8']
name: baseline1, hole_card: ['S8', 'C6']
name: b10204022, hole_card: ['D6', 'C8']
community cards of this round: ['D8', 'C6', 'C7', 'C2', 'S9']
name: baseline1, hole_card: ['CT', 'CQ']
name: b10204022, hole_card: ['SJ', 'SQ']
name: baseline1, hole_card: ['CT', 'CQ']
name: b10204022, hole_card: ['SJ', 'SQ']
community cards of this round: ['H2', 'CJ', 'D3', 'D6', 'H3']
name: baseline1, hole_card: ['S3', 'C9']
name: b10204022, hole_card: ['D5', 'C3']
name: baseline1, hole_card: ['S3', 'C9']
name: b10204022, hole_card: ['D5', 'C3']
name: baseline1, hole_card: ['S3', 'C9']
name: b10204022, hole_card: ['D5', 'C3']
community cards of this round: ['C9', 'H3', 'C8', 'C7', 'S7']
name: baseline1, hole_card: ['CQ', 'S9']
name: b10204022, hole_card: ['D7', 'H9']
name: baseline1, hole_card: ['CQ', 'S9']
name: b10204022, hole_card: ['D7', 'H9']
community cards of this round: ['CJ', 'SA', 'D4', 'DA', 'HT']
name: baseline1, hole_card: ['DT', 'C5']
name: b10204022, hole_card: ['H8', 'S9']
name: baseline1, hole_card: ['DT', 'C5']
name: b10204022, hole_card: ['H8', 'S9']
name: baseline1, hole_card: ['DT', 'C5']
name: b10204022, hole_card: ['H8', 'S9']
community cards of this round: ['HK', 'H5', 'D2', 'C7', 'S8']
name: baseline1, hole_card: ['H6', 'D6']
name: b10204022, hole_card: ['S6', 'C5']
name: baseline1, hole_card: ['H6', 'D6']
name: b10204022, hole_card: ['S6', 'C5']
community cards of this round: ['H8', 'DK', 'D2', 'S9', 'DA']
name: baseline1, hole_card: ['HQ', 'C2']
name: b10204022, hole_card: ['C7', 'H6']
name: baseline1, hole_card: ['HQ', 'C2']
name: b10204022, hole_card: ['C7', 'H6']
name: baseline1, hole_card: ['HQ', 'C2']
name: b10204022, hole_card: ['C7', 'H6']
community cards of this round: ['H7', 'S2', 'C6', 'HK', 'CA']
name: baseline1, hole_card: ['HA', 'HT']
name: b10204022, hole_card: ['S9', 'D7']
name: baseline1, hole_card: ['HA', 'HT']
name: b10204022, hole_card: ['S9', 'D7']
community cards of this round: ['C6', 'CK', 'C2', 'S3', 'D4']
name: baseline1, hole_card: ['S9', 'S4']
name: b10204022, hole_card: ['H4', 'D3']
name: baseline1, hole_card: ['S9', 'S4']
