community cards of this round: ['DJ', 'D2', 'C6', 'H6', 'S6']
name: baseline1, hole_card: ['S9', 'SQ']
name: b10502058, hole_card: ['D8', 'C9']
name: baseline1, hole_card: ['S9', 'SQ']
name: b10502058, hole_card: ['D8', 'C9']
name: baseline1, hole_card: ['S9', 'SQ']
name: b10502058, hole_card: ['D8', 'C9']
name: baseline1, hole_card: ['S9', 'SQ']
name: b10502058, hole_card: ['D8', 'C9']
name: baseline1, hole_card: ['S9', 'SQ']
name: b10502058, hole_card: ['D8', 'C9']
name: baseline1, hole_card: ['S9', 'SQ']
name: b10502058, hole_card: ['D8', 'C9']
community cards of this round: ['HJ', 'D2', 'D5', 'CA', 'HQ']
name: baseline1, hole_card: ['D4', 'C9']
name: b10502058, hole_card: ['DA', 'D7']
name: baseline1, hole_card: ['D4', 'C9']
name: b10502058, hole_card: ['DA', 'D7']
name: baseline1, hole_card: ['D4', 'C9']
name: b10502058, hole_card: ['DA', 'D7']
name: baseline1, hole_card: ['D4', 'C9']
name: b10502058, hole_card: ['DA', 'D7']
name: baseline1, hole_card: ['D4', 'C9']
name: b10502058, hole_card: ['DA', 'D7']
name: baseline1, hole_card: ['D4', 'C9']
name: b10502058, hole_card: ['DA', 'D7']
name: baseline1, hole_card: ['D4', 'C9']
name: b10502058, hole_card: ['DA', 'D7']
name: baseline1, hole_card: ['D4', 'C9']
name: b10502058, hole_card: ['DA', 'D7']
community cards of this round: ['SK', 'DT', 'H9', 'C2', 'H5']
name: baseline1, hole_card: ['SJ', 'CQ']
name: b10502058, hole_card: ['C5', 'D8']
name: baseline1, hole_card: ['SJ', 'CQ']
name: b10502058, hole_card: ['C5', 'D8']
name: baseline1, hole_card: ['SJ', 'CQ']
name: b10502058, hole_card: ['C5', 'D8']
name: baseline1, hole_card: ['SJ', 'CQ']
name: b10502058, hole_card: ['C5', 'D8']
name: baseline1, hole_card: ['SJ', 'CQ']
name: b10502058, hole_card: ['C5', 'D8']
name: baseline1, hole_card: ['SJ', 'CQ']
name: b10502058, hole_card: ['C5', 'D8']
name: baseline1, hole_card: ['SJ', 'CQ']
name: b10502058, hole_card: ['C5', 'D8']
community cards of this round: ['S3', 'S5', 'HK', 'C2', 'HT']
name: baseline1, hole_card: ['H7', 'H5']
name: b10502058, hole_card: ['DQ', 'H9']
name: baseline1, hole_card: ['H7', 'H5']
name: b10502058, hole_card: ['DQ', 'H9']
name: baseline1, hole_card: ['H7', 'H5']
name: b10502058, hole_card: ['DQ', 'H9']
