community cards of this round: ['HJ', 'ST', 'D6', 'DJ', 'SJ']
name: baseline1, hole_card: ['S6', 'HT']
name: b10505029, hole_card: ['SK', 'H3']
name: baseline1, hole_card: ['S6', 'HT']
name: b10505029, hole_card: ['SK', 'H3']
name: baseline1, hole_card: ['S6', 'HT']
name: b10505029, hole_card: ['SK', 'H3']
name: baseline1, hole_card: ['S6', 'HT']
name: b10505029, hole_card: ['SK', 'H3']
name: baseline1, hole_card: ['S6', 'HT']
name: b10505029, hole_card: ['SK', 'H3']
name: baseline1, hole_card: ['S6', 'HT']
name: b10505029, hole_card: ['SK', 'H3']
community cards of this round: ['H3', 'H9', 'CQ', 'DQ', 'C4']
name: baseline1, hole_card: ['DT', 'ST']
name: b10505029, hole_card: ['CA', 'HJ']
name: baseline1, hole_card: ['DT', 'ST']
name: b10505029, hole_card: ['CA', 'HJ']
name: baseline1, hole_card: ['DT', 'ST']
name: b10505029, hole_card: ['CA', 'HJ']
name: baseline1, hole_card: ['DT', 'ST']
name: b10505029, hole_card: ['CA', 'HJ']
name: baseline1, hole_card: ['DT', 'ST']
name: b10505029, hole_card: ['CA', 'HJ']
name: baseline1, hole_card: ['DT', 'ST']
name: b10505029, hole_card: ['CA', 'HJ']
name: baseline1, hole_card: ['DT', 'ST']
name: b10505029, hole_card: ['CA', 'HJ']
name: baseline1, hole_card: ['DT', 'ST']
name: b10505029, hole_card: ['CA', 'HJ']
name: baseline1, hole_card: ['DT', 'ST']
name: b10505029, hole_card: ['CA', 'HJ']
community cards of this round: ['S9', 'S8', 'C6', 'S5', 'C4']
name: baseline1, hole_card: ['CQ', 'HK']
name: b10505029, hole_card: ['S2', 'S6']
name: baseline1, hole_card: ['CQ', 'HK']
name: b10505029, hole_card: ['S2', 'S6']
community cards of this round: ['S9', 'C5', 'H5', 'D5', 'DT']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
name: baseline1, hole_card: ['H2', 'HJ']
name: b10505029, hole_card: ['HA', 'D8']
community cards of this round: ['CT', 'C8', 'C4', 'S7', 'S8']
name: baseline1, hole_card: ['D4', 'S2']
name: b10505029, hole_card: ['C3', 'DA']
name: baseline1, hole_card: ['D4', 'S2']
name: b10505029, hole_card: ['C3', 'DA']
name: baseline1, hole_card: ['D4', 'S2']
name: b10505029, hole_card: ['C3', 'DA']
name: baseline1, hole_card: ['D4', 'S2']
name: b10505029, hole_card: ['C3', 'DA']
name: baseline1, hole_card: ['D4', 'S2']
name: b10505029, hole_card: ['C3', 'DA']
name: baseline1, hole_card: ['D4', 'S2']
name: b10505029, hole_card: ['C3', 'DA']
