community cards of this round: ['S7', 'C4', 'C7', 'H6', 'HA']
name: baseline1, hole_card: ['H8', 'D6']
name: b10505044, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H8', 'D6']
name: b10505044, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H8', 'D6']
name: b10505044, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H8', 'D6']
name: b10505044, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H8', 'D6']
name: b10505044, hole_card: ['SQ', 'CT']
name: baseline1, hole_card: ['H8', 'D6']
name: b10505044, hole_card: ['SQ', 'CT']
community cards of this round: ['C2', 'HK', 'D6', 'S3', 'C7']
name: baseline1, hole_card: ['CA', 'DK']
name: b10505044, hole_card: ['SQ', 'ST']
name: baseline1, hole_card: ['CA', 'DK']
name: b10505044, hole_card: ['SQ', 'ST']
name: baseline1, hole_card: ['CA', 'DK']
name: b10505044, hole_card: ['SQ', 'ST']
name: baseline1, hole_card: ['CA', 'DK']
name: b10505044, hole_card: ['SQ', 'ST']
name: baseline1, hole_card: ['CA', 'DK']
name: b10505044, hole_card: ['SQ', 'ST']
name: baseline1, hole_card: ['CA', 'DK']
name: b10505044, hole_card: ['SQ', 'ST']
name: baseline1, hole_card: ['CA', 'DK']
name: b10505044, hole_card: ['SQ', 'ST']
community cards of this round: ['D6', 'CT', 'HK', 'SJ', 'C2']
name: baseline1, hole_card: ['D3', 'HA']
name: b10505044, hole_card: ['C9', 'S6']
name: baseline1, hole_card: ['D3', 'HA']
name: b10505044, hole_card: ['C9', 'S6']
name: baseline1, hole_card: ['D3', 'HA']
name: b10505044, hole_card: ['C9', 'S6']
name: baseline1, hole_card: ['D3', 'HA']
name: b10505044, hole_card: ['C9', 'S6']
name: baseline1, hole_card: ['D3', 'HA']
name: b10505044, hole_card: ['C9', 'S6']
name: baseline1, hole_card: ['D3', 'HA']
name: b10505044, hole_card: ['C9', 'S6']
name: baseline1, hole_card: ['D3', 'HA']
name: b10505044, hole_card: ['C9', 'S6']
name: baseline1, hole_card: ['D3', 'HA']
name: b10505044, hole_card: ['C9', 'S6']
name: baseline1, hole_card: ['D3', 'HA']
name: b10505044, hole_card: ['C9', 'S6']
community cards of this round: ['HT', 'HK', 'DQ', 'HJ', 'S2']
name: baseline1, hole_card: ['D6', 'HA']
name: b10505044, hole_card: ['C2', 'C5']
name: baseline1, hole_card: ['D6', 'HA']
name: b10505044, hole_card: ['C2', 'C5']
name: baseline1, hole_card: ['D6', 'HA']
name: b10505044, hole_card: ['C2', 'C5']
name: baseline1, hole_card: ['D6', 'HA']
name: b10505044, hole_card: ['C2', 'C5']
name: baseline1, hole_card: ['D6', 'HA']
name: b10505044, hole_card: ['C2', 'C5']
name: baseline1, hole_card: ['D6', 'HA']
name: b10505044, hole_card: ['C2', 'C5']
community cards of this round: ['DA', 'H7', 'D5', 'D6', 'SA']
name: baseline1, hole_card: ['S8', 'DT']
name: b10505044, hole_card: ['DJ', 'SQ']
name: baseline1, hole_card: ['S8', 'DT']
name: b10505044, hole_card: ['DJ', 'SQ']
name: baseline1, hole_card: ['S8', 'DT']
name: b10505044, hole_card: ['DJ', 'SQ']
name: baseline1, hole_card: ['S8', 'DT']
name: b10505044, hole_card: ['DJ', 'SQ']
name: baseline1, hole_card: ['S8', 'DT']
name: b10505044, hole_card: ['DJ', 'SQ']
name: baseline1, hole_card: ['S8', 'DT']
name: b10505044, hole_card: ['DJ', 'SQ']
name: baseline1, hole_card: ['S8', 'DT']
name: b10505044, hole_card: ['DJ', 'SQ']
name: baseline1, hole_card: ['S8', 'DT']
name: b10505044, hole_card: ['DJ', 'SQ']
community cards of this round: ['CT', 'D7', 'HJ', 'DK', 'HT']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
name: baseline1, hole_card: ['S3', 'H7']
name: b10505044, hole_card: ['S8', 'C9']
community cards of this round: ['CJ', 'C4', 'C6', 'D3', 'CT']
name: baseline1, hole_card: ['C5', 'C7']
name: b10505044, hole_card: ['S7', 'H3']
name: baseline1, hole_card: ['C5', 'C7']
name: b10505044, hole_card: ['S7', 'H3']
name: baseline1, hole_card: ['C5', 'C7']
name: b10505044, hole_card: ['S7', 'H3']
name: baseline1, hole_card: ['C5', 'C7']
name: b10505044, hole_card: ['S7', 'H3']
community cards of this round: ['H9', 'C2', 'H4', 'ST', 'D4']
name: baseline1, hole_card: ['HA', 'DA']
name: b10505044, hole_card: ['DT', 'D3']
name: baseline1, hole_card: ['HA', 'DA']
name: b10505044, hole_card: ['DT', 'D3']
name: baseline1, hole_card: ['HA', 'DA']
name: b10505044, hole_card: ['DT', 'D3']
name: baseline1, hole_card: ['HA', 'DA']
name: b10505044, hole_card: ['DT', 'D3']
name: baseline1, hole_card: ['HA', 'DA']
name: b10505044, hole_card: ['DT', 'D3']
community cards of this round: ['C4', 'HA', 'D2', 'S3', 'CJ']
name: baseline1, hole_card: ['DQ', 'C2']
name: b10505044, hole_card: ['C7', 'SJ']
name: baseline1, hole_card: ['DQ', 'C2']
name: b10505044, hole_card: ['C7', 'SJ']
name: baseline1, hole_card: ['DQ', 'C2']
name: b10505044, hole_card: ['C7', 'SJ']
name: baseline1, hole_card: ['DQ', 'C2']
name: b10505044, hole_card: ['C7', 'SJ']
