community cards of this round: ['HJ', 'DA', 'SQ', 'DJ', 'C7']
name: baseline1, hole_card: ['H5', 'C5']
name: b10505057, hole_card: ['D3', 'S7']
name: baseline1, hole_card: ['H5', 'C5']
name: b10505057, hole_card: ['D3', 'S7']
community cards of this round: ['H4', 'C3', 'CJ', 'D3', 'C9']
name: baseline1, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['CK', 'CA']
name: b10505057, hole_card: ['HQ', 'D6']
community cards of this round: ['C9', 'H9', 'C6', 'H3', 'C4']
name: baseline1, hole_card: ['D9', 'HA']
name: b10505057, hole_card: ['DQ', 'C8']
name: baseline1, hole_card: ['D9', 'HA']
name: b10505057, hole_card: ['DQ', 'C8']
name: baseline1, hole_card: ['D9', 'HA']
name: b10505057, hole_card: ['DQ', 'C8']
name: baseline1, hole_card: ['D9', 'HA']
name: b10505057, hole_card: ['DQ', 'C8']
name: baseline1, hole_card: ['D9', 'HA']
name: b10505057, hole_card: ['DQ', 'C8']
name: baseline1, hole_card: ['D9', 'HA']
name: b10505057, hole_card: ['DQ', 'C8']
community cards of this round: ['H4', 'SJ', 'C6', 'CJ', 'DJ']
name: baseline1, hole_card: ['D2', 'C4']
name: b10505057, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['D2', 'C4']
name: b10505057, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['D2', 'C4']
name: b10505057, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['D2', 'C4']
name: b10505057, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['D2', 'C4']
name: b10505057, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['D2', 'C4']
name: b10505057, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['D2', 'C4']
name: b10505057, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['D2', 'C4']
name: b10505057, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['D2', 'C4']
name: b10505057, hole_card: ['HK', 'C8']
community cards of this round: ['SK', 'S9', 'D8', 'S8', 'H4']
name: baseline1, hole_card: ['C9', 'CT']
name: b10505057, hole_card: ['C2', 'S3']
name: baseline1, hole_card: ['C9', 'CT']
name: b10505057, hole_card: ['C2', 'S3']
community cards of this round: ['DK', 'HA', 'ST', 'H5', 'D8']
name: baseline1, hole_card: ['C4', 'D6']
name: b10505057, hole_card: ['D7', 'D4']
name: baseline1, hole_card: ['C4', 'D6']
name: b10505057, hole_card: ['D7', 'D4']
name: baseline1, hole_card: ['C4', 'D6']
name: b10505057, hole_card: ['D7', 'D4']
name: baseline1, hole_card: ['C4', 'D6']
name: b10505057, hole_card: ['D7', 'D4']
community cards of this round: ['DJ', 'DQ', 'H3', 'DT', 'D8']
name: baseline1, hole_card: ['C7', 'HJ']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline1, hole_card: ['C7', 'HJ']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline1, hole_card: ['C7', 'HJ']
name: b10505057, hole_card: ['C5', 'C8']
name: baseline1, hole_card: ['C7', 'HJ']
name: b10505057, hole_card: ['C5', 'C8']
community cards of this round: ['C3', 'DK', 'ST', 'D8', 'C2']
name: baseline1, hole_card: ['DQ', 'D4']
name: b10505057, hole_card: ['S6', 'C9']
name: baseline1, hole_card: ['DQ', 'D4']
name: b10505057, hole_card: ['S6', 'C9']
name: baseline1, hole_card: ['DQ', 'D4']
name: b10505057, hole_card: ['S6', 'C9']
name: baseline1, hole_card: ['DQ', 'D4']
name: b10505057, hole_card: ['S6', 'C9']
name: baseline1, hole_card: ['DQ', 'D4']
name: b10505057, hole_card: ['S6', 'C9']
name: baseline1, hole_card: ['DQ', 'D4']
name: b10505057, hole_card: ['S6', 'C9']
name: baseline1, hole_card: ['DQ', 'D4']
name: b10505057, hole_card: ['S6', 'C9']
name: baseline1, hole_card: ['DQ', 'D4']
name: b10505057, hole_card: ['S6', 'C9']
community cards of this round: ['HA', 'HJ', 'HT', 'D7', 'D2']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505057, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505057, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505057, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505057, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505057, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505057, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505057, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['C7', 'SJ']
name: b10505057, hole_card: ['CQ', 'HQ']
community cards of this round: ['D6', 'C6', 'ST', 'S8', 'SA']
name: baseline1, hole_card: ['S4', 'D2']
name: b10505057, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['S4', 'D2']
name: b10505057, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['S4', 'D2']
name: b10505057, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['S4', 'D2']
name: b10505057, hole_card: ['CJ', 'CT']
community cards of this round: ['D7', 'H5', 'S5', 'C8', 'SJ']
name: baseline1, hole_card: ['D8', 'H2']
name: b10505057, hole_card: ['C9', 'HA']
name: baseline1, hole_card: ['D8', 'H2']
name: b10505057, hole_card: ['C9', 'HA']
name: baseline1, hole_card: ['D8', 'H2']
name: b10505057, hole_card: ['C9', 'HA']
name: baseline1, hole_card: ['D8', 'H2']
name: b10505057, hole_card: ['C9', 'HA']
name: baseline1, hole_card: ['D8', 'H2']
name: b10505057, hole_card: ['C9', 'HA']
community cards of this round: ['S5', 'D7', 'H6', 'S2', 'SQ']
name: baseline1, hole_card: ['H2', 'S6']
name: b10505057, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['H2', 'S6']
name: b10505057, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['H2', 'S6']
name: b10505057, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['H2', 'S6']
name: b10505057, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['H2', 'S6']
name: b10505057, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['H2', 'S6']
name: b10505057, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['H2', 'S6']
name: b10505057, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['H2', 'S6']
name: b10505057, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['H2', 'S6']
name: b10505057, hole_card: ['D4', 'ST']
community cards of this round: ['D8', 'C2', 'HK', 'D7', 'H5']
name: baseline1, hole_card: ['S7', 'SK']
name: b10505057, hole_card: ['DT', 'CA']
name: baseline1, hole_card: ['S7', 'SK']
name: b10505057, hole_card: ['DT', 'CA']
name: baseline1, hole_card: ['S7', 'SK']
name: b10505057, hole_card: ['DT', 'CA']
name: baseline1, hole_card: ['S7', 'SK']
name: b10505057, hole_card: ['DT', 'CA']
