community cards of this round: ['D7', 'D2', 'C7', 'H9', 'HA']
name: baseline1, hole_card: ['C3', 'S5']
name: b10705044, hole_card: ['C4', 'H5']
name: baseline1, hole_card: ['C3', 'S5']
name: b10705044, hole_card: ['C4', 'H5']
name: baseline1, hole_card: ['C3', 'S5']
name: b10705044, hole_card: ['C4', 'H5']
name: baseline1, hole_card: ['C3', 'S5']
name: b10705044, hole_card: ['C4', 'H5']
name: baseline1, hole_card: ['C3', 'S5']
name: b10705044, hole_card: ['C4', 'H5']
community cards of this round: ['HT', 'D3', 'SK', 'S2', 'C5']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10705044, hole_card: ['DA', 'CK']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10705044, hole_card: ['DA', 'CK']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10705044, hole_card: ['DA', 'CK']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10705044, hole_card: ['DA', 'CK']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10705044, hole_card: ['DA', 'CK']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10705044, hole_card: ['DA', 'CK']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10705044, hole_card: ['DA', 'CK']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10705044, hole_card: ['DA', 'CK']
name: baseline1, hole_card: ['D7', 'DJ']
name: b10705044, hole_card: ['DA', 'CK']
community cards of this round: ['H7', 'H2', 'DT', 'S2', 'H9']
name: baseline1, hole_card: ['SA', 'SK']
name: b10705044, hole_card: ['C3', 'S8']
name: baseline1, hole_card: ['SA', 'SK']
name: b10705044, hole_card: ['C3', 'S8']
name: baseline1, hole_card: ['SA', 'SK']
name: b10705044, hole_card: ['C3', 'S8']
name: baseline1, hole_card: ['SA', 'SK']
name: b10705044, hole_card: ['C3', 'S8']
name: baseline1, hole_card: ['SA', 'SK']
name: b10705044, hole_card: ['C3', 'S8']
name: baseline1, hole_card: ['SA', 'SK']
name: b10705044, hole_card: ['C3', 'S8']
name: baseline1, hole_card: ['SA', 'SK']
name: b10705044, hole_card: ['C3', 'S8']
name: baseline1, hole_card: ['SA', 'SK']
name: b10705044, hole_card: ['C3', 'S8']
community cards of this round: ['HT', 'H7', 'DJ', 'C8', 'D9']
name: baseline1, hole_card: ['DK', 'ST']
name: b10705044, hole_card: ['CA', 'HQ']
name: baseline1, hole_card: ['DK', 'ST']
name: b10705044, hole_card: ['CA', 'HQ']
name: baseline1, hole_card: ['DK', 'ST']
name: b10705044, hole_card: ['CA', 'HQ']
name: baseline1, hole_card: ['DK', 'ST']
name: b10705044, hole_card: ['CA', 'HQ']
name: baseline1, hole_card: ['DK', 'ST']
name: b10705044, hole_card: ['CA', 'HQ']
name: baseline1, hole_card: ['DK', 'ST']
name: b10705044, hole_card: ['CA', 'HQ']
name: baseline1, hole_card: ['DK', 'ST']
name: b10705044, hole_card: ['CA', 'HQ']
name: baseline1, hole_card: ['DK', 'ST']
name: b10705044, hole_card: ['CA', 'HQ']
community cards of this round: ['SQ', 'D6', 'C9', 'SA', 'H2']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
name: baseline1, hole_card: ['H4', 'CA']
name: b10705044, hole_card: ['CQ', 'DK']
community cards of this round: ['C4', 'H4', 'S6', 'H7', 'DJ']
name: baseline1, hole_card: ['H9', 'H5']
name: b10705044, hole_card: ['HJ', 'D7']
name: baseline1, hole_card: ['H9', 'H5']
name: b10705044, hole_card: ['HJ', 'D7']
name: baseline1, hole_card: ['H9', 'H5']
name: b10705044, hole_card: ['HJ', 'D7']
name: baseline1, hole_card: ['H9', 'H5']
name: b10705044, hole_card: ['HJ', 'D7']
name: baseline1, hole_card: ['H9', 'H5']
name: b10705044, hole_card: ['HJ', 'D7']
name: baseline1, hole_card: ['H9', 'H5']
