community cards of this round: ['CT', 'SJ', 'D9', 'S6', 'H8']
name: baseline1, hole_card: ['S2', 'DT']
name: b10902014, hole_card: ['D2', 'H9']
name: baseline1, hole_card: ['S2', 'DT']
name: b10902014, hole_card: ['D2', 'H9']
community cards of this round: ['H3', 'S7', 'H6', 'H7', 'D7']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
name: baseline1, hole_card: ['H5', 'SK']
name: b10902014, hole_card: ['HT', 'SA']
community cards of this round: ['D8', 'C5', 'D7', 'HA', 'H8']
name: baseline1, hole_card: ['CQ', 'S8']
name: b10902014, hole_card: ['D2', 'C8']
name: baseline1, hole_card: ['CQ', 'S8']
name: b10902014, hole_card: ['D2', 'C8']
community cards of this round: ['HQ', 'ST', 'D9', 'H2', 'D7']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
name: baseline1, hole_card: ['D5', 'C9']
name: b10902014, hole_card: ['C5', 'SK']
community cards of this round: ['C9', 'H6', 'CA', 'DA', 'DT']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
name: baseline1, hole_card: ['HT', 'C5']
name: b10902014, hole_card: ['HK', 'C7']
community cards of this round: ['CK', 'D9', 'C7', 'S8', 'CQ']
name: baseline1, hole_card: ['S9', 'H9']
name: b10902014, hole_card: ['S4', 'DA']
name: baseline1, hole_card: ['S9', 'H9']
name: b10902014, hole_card: ['S4', 'DA']
name: baseline1, hole_card: ['S9', 'H9']
name: b10902014, hole_card: ['S4', 'DA']
name: baseline1, hole_card: ['S9', 'H9']
name: b10902014, hole_card: ['S4', 'DA']
name: baseline1, hole_card: ['S9', 'H9']
name: b10902014, hole_card: ['S4', 'DA']
name: baseline1, hole_card: ['S9', 'H9']
name: b10902014, hole_card: ['S4', 'DA']
community cards of this round: ['CQ', 'D7', 'S4', 'H7', 'S9']
name: baseline1, hole_card: ['S2', 'CT']
name: b10902014, hole_card: ['DQ', 'HJ']
name: baseline1, hole_card: ['S2', 'CT']
name: b10902014, hole_card: ['DQ', 'HJ']
name: baseline1, hole_card: ['S2', 'CT']
name: b10902014, hole_card: ['DQ', 'HJ']
name: baseline1, hole_card: ['S2', 'CT']
name: b10902014, hole_card: ['DQ', 'HJ']
name: baseline1, hole_card: ['S2', 'CT']
name: b10902014, hole_card: ['DQ', 'HJ']
name: baseline1, hole_card: ['S2', 'CT']
name: b10902014, hole_card: ['DQ', 'HJ']
name: baseline1, hole_card: ['S2', 'CT']
name: b10902014, hole_card: ['DQ', 'HJ']
name: baseline1, hole_card: ['S2', 'CT']
name: b10902014, hole_card: ['DQ', 'HJ']
name: baseline1, hole_card: ['S2', 'CT']
name: b10902014, hole_card: ['DQ', 'HJ']
community cards of this round: ['S4', 'SJ', 'CT', 'D5', 'C9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
name: baseline1, hole_card: ['S9', 'H7']
name: b10902014, hole_card: ['H5', 'H9']
community cards of this round: ['DA', 'C9', 'ST', 'C2', 'CQ']
name: baseline1, hole_card: ['DJ', 'D3']
name: b10902014, hole_card: ['S8', 'H9']
name: baseline1, hole_card: ['DJ', 'D3']
