community cards of this round: ['D2', 'DQ', 'D5', 'ST', 'C8']
name: baseline1, hole_card: ['HQ', 'D3']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HQ', 'D3']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HQ', 'D3']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HQ', 'D3']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HQ', 'D3']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HQ', 'D3']
name: b10902022, hole_card: ['D9', 'DJ']
community cards of this round: ['DK', 'H3', 'D7', 'S9', 'HJ']
name: baseline1, hole_card: ['CJ', 'S5']
name: b10902022, hole_card: ['D4', 'S3']
name: baseline1, hole_card: ['CJ', 'S5']
name: b10902022, hole_card: ['D4', 'S3']
name: baseline1, hole_card: ['CJ', 'S5']
name: b10902022, hole_card: ['D4', 'S3']
name: baseline1, hole_card: ['CJ', 'S5']
name: b10902022, hole_card: ['D4', 'S3']
name: baseline1, hole_card: ['CJ', 'S5']
name: b10902022, hole_card: ['D4', 'S3']
name: baseline1, hole_card: ['CJ', 'S5']
name: b10902022, hole_card: ['D4', 'S3']
name: baseline1, hole_card: ['CJ', 'S5']
name: b10902022, hole_card: ['D4', 'S3']
name: baseline1, hole_card: ['CJ', 'S5']
name: b10902022, hole_card: ['D4', 'S3']
name: baseline1, hole_card: ['CJ', 'S5']
name: b10902022, hole_card: ['D4', 'S3']
community cards of this round: ['C8', 'D4', 'D9', 'S9', 'HT']
name: baseline1, hole_card: ['HQ', 'CK']
name: b10902022, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['HQ', 'CK']
name: b10902022, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['HQ', 'CK']
name: b10902022, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['HQ', 'CK']
name: b10902022, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['HQ', 'CK']
name: b10902022, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['HQ', 'CK']
name: b10902022, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['HQ', 'CK']
name: b10902022, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['HQ', 'CK']
name: b10902022, hole_card: ['DQ', 'C4']
name: baseline1, hole_card: ['HQ', 'CK']
name: b10902022, hole_card: ['DQ', 'C4']
community cards of this round: ['H5', 'HA', 'S4', 'DJ', 'C7']
name: baseline1, hole_card: ['SK', 'SA']
name: b10902022, hole_card: ['S5', 'D9']
name: baseline1, hole_card: ['SK', 'SA']
name: b10902022, hole_card: ['S5', 'D9']
name: baseline1, hole_card: ['SK', 'SA']
name: b10902022, hole_card: ['S5', 'D9']
name: baseline1, hole_card: ['SK', 'SA']
name: b10902022, hole_card: ['S5', 'D9']
name: baseline1, hole_card: ['SK', 'SA']
name: b10902022, hole_card: ['S5', 'D9']
community cards of this round: ['S9', 'S2', 'SJ', 'H2', 'H8']
name: baseline1, hole_card: ['DK', 'H5']
name: b10902022, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['DK', 'H5']
name: b10902022, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['DK', 'H5']
name: b10902022, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['DK', 'H5']
name: b10902022, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['DK', 'H5']
name: b10902022, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['DK', 'H5']
name: b10902022, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['DK', 'H5']
name: b10902022, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['DK', 'H5']
name: b10902022, hole_card: ['S7', 'C5']
name: baseline1, hole_card: ['DK', 'H5']
name: b10902022, hole_card: ['S7', 'C5']
community cards of this round: ['C6', 'ST', 'H3', 'SJ', 'CA']
name: baseline1, hole_card: ['S5', 'SA']
name: b10902022, hole_card: ['S2', 'S9']
name: baseline1, hole_card: ['S5', 'SA']
name: b10902022, hole_card: ['S2', 'S9']
name: baseline1, hole_card: ['S5', 'SA']
name: b10902022, hole_card: ['S2', 'S9']
name: baseline1, hole_card: ['S5', 'SA']
name: b10902022, hole_card: ['S2', 'S9']
name: baseline1, hole_card: ['S5', 'SA']
name: b10902022, hole_card: ['S2', 'S9']
name: baseline1, hole_card: ['S5', 'SA']
name: b10902022, hole_card: ['S2', 'S9']
