community cards of this round: ['DT', 'C4', 'H4', 'HJ', 'SA']
name: baseline1, hole_card: ['H2', 'S6']
name: b10902034, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['H2', 'S6']
name: b10902034, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['H2', 'S6']
name: b10902034, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['H2', 'S6']
name: b10902034, hole_card: ['CK', 'DJ']
name: baseline1, hole_card: ['H2', 'S6']
name: b10902034, hole_card: ['CK', 'DJ']
community cards of this round: ['C6', 'C3', 'DJ', 'H5', 'C4']
name: baseline1, hole_card: ['H3', 'C5']
name: b10902034, hole_card: ['C2', 'ST']
name: baseline1, hole_card: ['H3', 'C5']
name: b10902034, hole_card: ['C2', 'ST']
name: baseline1, hole_card: ['H3', 'C5']
name: b10902034, hole_card: ['C2', 'ST']
name: baseline1, hole_card: ['H3', 'C5']
name: b10902034, hole_card: ['C2', 'ST']
name: baseline1, hole_card: ['H3', 'C5']
name: b10902034, hole_card: ['C2', 'ST']
name: baseline1, hole_card: ['H3', 'C5']
name: b10902034, hole_card: ['C2', 'ST']
name: baseline1, hole_card: ['H3', 'C5']
name: b10902034, hole_card: ['C2', 'ST']
community cards of this round: ['SJ', 'CA', 'C9', 'S3', 'CJ']
name: baseline1, hole_card: ['D2', 'H8']
name: b10902034, hole_card: ['SA', 'HA']
name: baseline1, hole_card: ['D2', 'H8']
name: b10902034, hole_card: ['SA', 'HA']
name: baseline1, hole_card: ['D2', 'H8']
name: b10902034, hole_card: ['SA', 'HA']
name: baseline1, hole_card: ['D2', 'H8']
name: b10902034, hole_card: ['SA', 'HA']
name: baseline1, hole_card: ['D2', 'H8']
name: b10902034, hole_card: ['SA', 'HA']
community cards of this round: ['H5', 'DA', 'S8', 'C4', 'HJ']
name: baseline1, hole_card: ['S4', 'CT']
name: b10902034, hole_card: ['H8', 'C7']
name: baseline1, hole_card: ['S4', 'CT']
name: b10902034, hole_card: ['H8', 'C7']
name: baseline1, hole_card: ['S4', 'CT']
name: b10902034, hole_card: ['H8', 'C7']
community cards of this round: ['HQ', 'D3', 'D5', 'H5', 'CK']
name: baseline1, hole_card: ['SA', 'H3']
name: b10902034, hole_card: ['C9', 'H6']
name: baseline1, hole_card: ['SA', 'H3']
name: b10902034, hole_card: ['C9', 'H6']
name: baseline1, hole_card: ['SA', 'H3']
name: b10902034, hole_card: ['C9', 'H6']
name: baseline1, hole_card: ['SA', 'H3']
name: b10902034, hole_card: ['C9', 'H6']
name: baseline1, hole_card: ['SA', 'H3']
name: b10902034, hole_card: ['C9', 'H6']
name: baseline1, hole_card: ['SA', 'H3']
name: b10902034, hole_card: ['C9', 'H6']
name: baseline1, hole_card: ['SA', 'H3']
name: b10902034, hole_card: ['C9', 'H6']
name: baseline1, hole_card: ['SA', 'H3']
name: b10902034, hole_card: ['C9', 'H6']
name: baseline1, hole_card: ['SA', 'H3']
name: b10902034, hole_card: ['C9', 'H6']
community cards of this round: ['H9', 'C3', 'S4', 'SQ', 'C7']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
name: baseline1, hole_card: ['C6', 'C5']
name: b10902034, hole_card: ['C4', 'HT']
community cards of this round: ['D6', 'DT', 'HK', 'C9', 'CK']
name: baseline1, hole_card: ['H4', 'C6']
name: b10902034, hole_card: ['CA', 'C8']
name: baseline1, hole_card: ['H4', 'C6']
name: b10902034, hole_card: ['CA', 'C8']
name: baseline1, hole_card: ['H4', 'C6']
name: b10902034, hole_card: ['CA', 'C8']
name: baseline1, hole_card: ['H4', 'C6']
name: b10902034, hole_card: ['CA', 'C8']
