community cards of this round: ['H8', 'S3', 'CA', 'D3', 'HQ']
name: baseline1, hole_card: ['CK', 'C7']
name: b10902054, hole_card: ['DK', 'SA']
name: baseline1, hole_card: ['CK', 'C7']
name: b10902054, hole_card: ['DK', 'SA']
name: baseline1, hole_card: ['CK', 'C7']
name: b10902054, hole_card: ['DK', 'SA']
name: baseline1, hole_card: ['CK', 'C7']
name: b10902054, hole_card: ['DK', 'SA']
name: baseline1, hole_card: ['CK', 'C7']
name: b10902054, hole_card: ['DK', 'SA']
name: baseline1, hole_card: ['CK', 'C7']
name: b10902054, hole_card: ['DK', 'SA']
name: baseline1, hole_card: ['CK', 'C7']
name: b10902054, hole_card: ['DK', 'SA']
name: baseline1, hole_card: ['CK', 'C7']
name: b10902054, hole_card: ['DK', 'SA']
name: baseline1, hole_card: ['CK', 'C7']
name: b10902054, hole_card: ['DK', 'SA']
community cards of this round: ['CQ', 'DQ', 'S7', 'D3', 'SA']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
name: baseline1, hole_card: ['C2', 'CK']
name: b10902054, hole_card: ['HK', 'C5']
community cards of this round: ['ST', 'CK', 'H6', 'C5', 'S2']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902054, hole_card: ['S6', 'D4']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902054, hole_card: ['S6', 'D4']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902054, hole_card: ['S6', 'D4']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902054, hole_card: ['S6', 'D4']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902054, hole_card: ['S6', 'D4']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902054, hole_card: ['S6', 'D4']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902054, hole_card: ['S6', 'D4']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902054, hole_card: ['S6', 'D4']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902054, hole_card: ['S6', 'D4']
community cards of this round: ['H5', 'DT', 'H3', 'CA', 'SQ']
name: baseline1, hole_card: ['D8', 'DA']
