community cards of this round: ['C9', 'DJ', 'HQ', 'D4', 'D3']
name: baseline1, hole_card: ['S5', 'C4']
name: b10902063, hole_card: ['D6', 'HJ']
name: baseline1, hole_card: ['S5', 'C4']
name: b10902063, hole_card: ['D6', 'HJ']
name: baseline1, hole_card: ['S5', 'C4']
name: b10902063, hole_card: ['D6', 'HJ']
name: baseline1, hole_card: ['S5', 'C4']
name: b10902063, hole_card: ['D6', 'HJ']
name: baseline1, hole_card: ['S5', 'C4']
name: b10902063, hole_card: ['D6', 'HJ']
community cards of this round: ['D4', 'HA', 'S8', 'H7', 'D7']
name: baseline1, hole_card: ['DK', 'S5']
name: b10902063, hole_card: ['S2', 'ST']
name: baseline1, hole_card: ['DK', 'S5']
name: b10902063, hole_card: ['S2', 'ST']
name: baseline1, hole_card: ['DK', 'S5']
name: b10902063, hole_card: ['S2', 'ST']
name: baseline1, hole_card: ['DK', 'S5']
name: b10902063, hole_card: ['S2', 'ST']
name: baseline1, hole_card: ['DK', 'S5']
name: b10902063, hole_card: ['S2', 'ST']
name: baseline1, hole_card: ['DK', 'S5']
name: b10902063, hole_card: ['S2', 'ST']
name: baseline1, hole_card: ['DK', 'S5']
name: b10902063, hole_card: ['S2', 'ST']
name: baseline1, hole_card: ['DK', 'S5']
name: b10902063, hole_card: ['S2', 'ST']
name: baseline1, hole_card: ['DK', 'S5']
name: b10902063, hole_card: ['S2', 'ST']
community cards of this round: ['DQ', 'HT', 'CJ', 'S2', 'D2']
name: baseline1, hole_card: ['SJ', 'D9']
name: b10902063, hole_card: ['D8', 'HK']
name: baseline1, hole_card: ['SJ', 'D9']
name: b10902063, hole_card: ['D8', 'HK']
name: baseline1, hole_card: ['SJ', 'D9']
name: b10902063, hole_card: ['D8', 'HK']
name: baseline1, hole_card: ['SJ', 'D9']
name: b10902063, hole_card: ['D8', 'HK']
name: baseline1, hole_card: ['SJ', 'D9']
name: b10902063, hole_card: ['D8', 'HK']
name: baseline1, hole_card: ['SJ', 'D9']
name: b10902063, hole_card: ['D8', 'HK']
name: baseline1, hole_card: ['SJ', 'D9']
name: b10902063, hole_card: ['D8', 'HK']
name: baseline1, hole_card: ['SJ', 'D9']
name: b10902063, hole_card: ['D8', 'HK']
name: baseline1, hole_card: ['SJ', 'D9']
name: b10902063, hole_card: ['D8', 'HK']
community cards of this round: ['SJ', 'HA', 'DT', 'DJ', 'DK']
name: baseline1, hole_card: ['D7', 'D9']
name: b10902063, hole_card: ['D5', 'D6']
name: baseline1, hole_card: ['D7', 'D9']
name: b10902063, hole_card: ['D5', 'D6']
name: baseline1, hole_card: ['D7', 'D9']
name: b10902063, hole_card: ['D5', 'D6']
name: baseline1, hole_card: ['D7', 'D9']
name: b10902063, hole_card: ['D5', 'D6']
name: baseline1, hole_card: ['D7', 'D9']
name: b10902063, hole_card: ['D5', 'D6']
name: baseline1, hole_card: ['D7', 'D9']
name: b10902063, hole_card: ['D5', 'D6']
name: baseline1, hole_card: ['D7', 'D9']
name: b10902063, hole_card: ['D5', 'D6']
b10902063 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'yszyckeliryjbjpzeoelvu', 'stack': 2000.0, 'state': 'participating'}, {'name': 'b10902063', 'uuid': 'aocbpnyillxkbqjgpxxlhn', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['C9', 'DJ', 'HQ', 'D4', 'D3']
name: b10902063, hole_card: ['S5', 'C4']
name: baseline1, hole_card: ['D6', 'HJ']
name: b10902063, hole_card: ['S5', 'C4']
name: baseline1, hole_card: ['D6', 'HJ']
name: b10902063, hole_card: ['S5', 'C4']
name: baseline1, hole_card: ['D6', 'HJ']
name: b10902063, hole_card: ['S5', 'C4']
name: baseline1, hole_card: ['D6', 'HJ']
name: b10902063, hole_card: ['S5', 'C4']
name: baseline1, hole_card: ['D6', 'HJ']
name: b10902063, hole_card: ['S5', 'C4']
name: baseline1, hole_card: ['D6', 'HJ']
name: b10902063, hole_card: ['S5', 'C4']
name: baseline1, hole_card: ['D6', 'HJ']
name: b10902063, hole_card: ['S5', 'C4']
name: baseline1, hole_card: ['D6', 'HJ']
name: b10902063, hole_card: ['S5', 'C4']
name: baseline1, hole_card: ['D6', 'HJ']
community cards of this round: ['D4', 'HA', 'S8', 'H7', 'D7']
name: b10902063, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['S2', 'ST']
name: b10902063, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['S2', 'ST']
name: b10902063, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['S2', 'ST']
name: b10902063, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['S2', 'ST']
name: b10902063, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['S2', 'ST']
name: b10902063, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['S2', 'ST']
name: b10902063, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['S2', 'ST']
community cards of this round: ['DQ', 'HT', 'CJ', 'S2', 'D2']
name: b10902063, hole_card: ['SJ', 'D9']
name: baseline1, hole_card: ['D8', 'HK']
name: b10902063, hole_card: ['SJ', 'D9']
