community cards of this round: ['HQ', 'D8', 'C9', 'H6', 'SQ']
name: baseline1, hole_card: ['C6', 'S5']
name: b10902067, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['C6', 'S5']
name: b10902067, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['C6', 'S5']
name: b10902067, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['C6', 'S5']
name: b10902067, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['C6', 'S5']
name: b10902067, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['C6', 'S5']
name: b10902067, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['C6', 'S5']
name: b10902067, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['C6', 'S5']
name: b10902067, hole_card: ['C5', 'HJ']
name: baseline1, hole_card: ['C6', 'S5']
name: b10902067, hole_card: ['C5', 'HJ']
community cards of this round: ['CT', 'DA', 'H4', 'H7', 'D9']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
name: baseline1, hole_card: ['H2', 'C2']
name: b10902067, hole_card: ['ST', 'CA']
community cards of this round: ['S3', 'HT', 'S4', 'SQ', 'SJ']
name: baseline1, hole_card: ['CQ', 'HQ']
name: b10902067, hole_card: ['H2', 'DQ']
