community cards of this round: ['H5', 'ST', 'C5', 'H4', 'C8']
name: baseline1, hole_card: ['D7', 'C9']
name: b10902071, hole_card: ['D6', 'SA']
name: baseline1, hole_card: ['D7', 'C9']
name: b10902071, hole_card: ['D6', 'SA']
name: baseline1, hole_card: ['D7', 'C9']
name: b10902071, hole_card: ['D6', 'SA']
name: baseline1, hole_card: ['D7', 'C9']
name: b10902071, hole_card: ['D6', 'SA']
community cards of this round: ['H6', 'S7', 'S2', 'DK', 'C5']
name: baseline1, hole_card: ['DT', 'H7']
name: b10902071, hole_card: ['H9', 'H3']
name: baseline1, hole_card: ['DT', 'H7']
name: b10902071, hole_card: ['H9', 'H3']
name: baseline1, hole_card: ['DT', 'H7']
name: b10902071, hole_card: ['H9', 'H3']
name: baseline1, hole_card: ['DT', 'H7']
name: b10902071, hole_card: ['H9', 'H3']
name: baseline1, hole_card: ['DT', 'H7']
name: b10902071, hole_card: ['H9', 'H3']
community cards of this round: ['D2', 'H9', 'CK', 'D3', 'SA']
name: baseline1, hole_card: ['DT', 'ST']
name: b10902071, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['DT', 'ST']
name: b10902071, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['DT', 'ST']
name: b10902071, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['DT', 'ST']
name: b10902071, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['DT', 'ST']
name: b10902071, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['DT', 'ST']
name: b10902071, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['DT', 'ST']
name: b10902071, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['DT', 'ST']
name: b10902071, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['DT', 'ST']
name: b10902071, hole_card: ['H2', 'DK']
community cards of this round: ['HA', 'CT', 'C3', 'HK', 'SA']
name: baseline1, hole_card: ['S2', 'C2']
name: b10902071, hole_card: ['CQ', 'H6']
name: baseline1, hole_card: ['S2', 'C2']
name: b10902071, hole_card: ['CQ', 'H6']
name: baseline1, hole_card: ['S2', 'C2']
name: b10902071, hole_card: ['CQ', 'H6']
name: baseline1, hole_card: ['S2', 'C2']
name: b10902071, hole_card: ['CQ', 'H6']
name: baseline1, hole_card: ['S2', 'C2']
name: b10902071, hole_card: ['CQ', 'H6']
community cards of this round: ['HJ', 'HA', 'HQ', 'SK', 'C4']
name: baseline1, hole_card: ['S4', 'CQ']
name: b10902071, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['S4', 'CQ']
name: b10902071, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['S4', 'CQ']
name: b10902071, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['S4', 'CQ']
name: b10902071, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['S4', 'CQ']
name: b10902071, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['S4', 'CQ']
name: b10902071, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['S4', 'CQ']
name: b10902071, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['S4', 'CQ']
name: b10902071, hole_card: ['ST', 'S9']
name: baseline1, hole_card: ['S4', 'CQ']
name: b10902071, hole_card: ['ST', 'S9']
community cards of this round: ['S9', 'S3', 'C3', 'SQ', 'S7']
name: baseline1, hole_card: ['H5', 'C2']
name: b10902071, hole_card: ['H8', 'D5']
name: baseline1, hole_card: ['H5', 'C2']
name: b10902071, hole_card: ['H8', 'D5']
name: baseline1, hole_card: ['H5', 'C2']
name: b10902071, hole_card: ['H8', 'D5']
name: baseline1, hole_card: ['H5', 'C2']
name: b10902071, hole_card: ['H8', 'D5']
community cards of this round: ['C5', 'DJ', 'C4', 'SA', 'S5']
name: baseline1, hole_card: ['D9', 'H9']
name: b10902071, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['D9', 'H9']
name: b10902071, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['D9', 'H9']
name: b10902071, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['D9', 'H9']
name: b10902071, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['D9', 'H9']
name: b10902071, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['D9', 'H9']
name: b10902071, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['D9', 'H9']
name: b10902071, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['D9', 'H9']
name: b10902071, hole_card: ['DK', 'D8']
name: baseline1, hole_card: ['D9', 'H9']
name: b10902071, hole_card: ['DK', 'D8']
community cards of this round: ['D4', 'H8', 'DA', 'C6', 'H9']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902071, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902071, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902071, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902071, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902071, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902071, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902071, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902071, hole_card: ['S6', 'S4']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902071, hole_card: ['S6', 'S4']
community cards of this round: ['S7', 'CK', 'C2', 'S9', 'HA']
name: baseline1, hole_card: ['D4', 'DA']
name: b10902071, hole_card: ['C4', 'DJ']
name: baseline1, hole_card: ['D4', 'DA']
name: b10902071, hole_card: ['C4', 'DJ']
name: baseline1, hole_card: ['D4', 'DA']
name: b10902071, hole_card: ['C4', 'DJ']
name: baseline1, hole_card: ['D4', 'DA']
name: b10902071, hole_card: ['C4', 'DJ']
community cards of this round: ['ST', 'DQ', 'CQ', 'S7', 'DA']
name: baseline1, hole_card: ['C4', 'D3']
name: b10902071, hole_card: ['H9', 'CJ']
name: baseline1, hole_card: ['C4', 'D3']
name: b10902071, hole_card: ['H9', 'CJ']
name: baseline1, hole_card: ['C4', 'D3']
name: b10902071, hole_card: ['H9', 'CJ']
name: baseline1, hole_card: ['C4', 'D3']
name: b10902071, hole_card: ['H9', 'CJ']
community cards of this round: ['S4', 'H7', 'H5', 'D3', 'CT']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
name: b10902071, hole_card: ['C5', 'CA']
name: baseline1, hole_card: ['D7', 'DQ']
