community cards of this round: ['ST', 'HJ', 'H7', 'HT', 'C3']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902075, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902075, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902075, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902075, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902075, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902075, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902075, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902075, hole_card: ['CJ', 'C8']
name: baseline1, hole_card: ['DQ', 'D7']
name: b10902075, hole_card: ['CJ', 'C8']
community cards of this round: ['ST', 'D7', 'H2', 'H7', 'H6']
name: baseline1, hole_card: ['S5', 'SJ']
name: b10902075, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['S5', 'SJ']
name: b10902075, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['S5', 'SJ']
name: b10902075, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['S5', 'SJ']
name: b10902075, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['S5', 'SJ']
name: b10902075, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['S5', 'SJ']
name: b10902075, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['S5', 'SJ']
name: b10902075, hole_card: ['DQ', 'H4']
name: baseline1, hole_card: ['S5', 'SJ']
name: b10902075, hole_card: ['DQ', 'H4']
community cards of this round: ['H8', 'S7', 'CK', 'S8', 'CJ']
name: baseline1, hole_card: ['D7', 'C5']
name: b10902075, hole_card: ['D2', 'CA']
name: baseline1, hole_card: ['D7', 'C5']
name: b10902075, hole_card: ['D2', 'CA']
name: baseline1, hole_card: ['D7', 'C5']
name: b10902075, hole_card: ['D2', 'CA']
name: baseline1, hole_card: ['D7', 'C5']
name: b10902075, hole_card: ['D2', 'CA']
name: baseline1, hole_card: ['D7', 'C5']
name: b10902075, hole_card: ['D2', 'CA']
name: baseline1, hole_card: ['D7', 'C5']
name: b10902075, hole_card: ['D2', 'CA']
name: baseline1, hole_card: ['D7', 'C5']
name: b10902075, hole_card: ['D2', 'CA']
name: baseline1, hole_card: ['D7', 'C5']
name: b10902075, hole_card: ['D2', 'CA']
name: baseline1, hole_card: ['D7', 'C5']
name: b10902075, hole_card: ['D2', 'CA']
community cards of this round: ['CA', 'C7', 'C5', 'HT', 'C2']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
name: baseline1, hole_card: ['ST', 'C3']
name: b10902075, hole_card: ['H5', 'DT']
community cards of this round: ['S6', 'S4', 'H3', 'H8', 'S3']
name: baseline1, hole_card: ['H4', 'SJ']
name: b10902075, hole_card: ['DT', 'S9']
name: baseline1, hole_card: ['H4', 'SJ']
name: b10902075, hole_card: ['DT', 'S9']
community cards of this round: ['H5', 'DA', 'S8', 'S3', 'D3']
name: baseline1, hole_card: ['C3', 'DQ']
name: b10902075, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'DQ']
name: b10902075, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'DQ']
name: b10902075, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'DQ']
name: b10902075, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'DQ']
name: b10902075, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'DQ']
name: b10902075, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'DQ']
name: b10902075, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'DQ']
name: b10902075, hole_card: ['HT', 'S7']
name: baseline1, hole_card: ['C3', 'DQ']
name: b10902075, hole_card: ['HT', 'S7']
community cards of this round: ['D2', 'C9', 'D4', 'CK', 'ST']
name: baseline1, hole_card: ['D6', 'C4']
name: b10902075, hole_card: ['H6', 'D7']
name: baseline1, hole_card: ['D6', 'C4']
name: b10902075, hole_card: ['H6', 'D7']
community cards of this round: ['DT', 'S3', 'S4', 'S2', 'CA']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
name: baseline1, hole_card: ['C8', 'S8']
name: b10902075, hole_card: ['D4', 'CT']
community cards of this round: ['C5', 'D2', 'S3', 'SQ', 'DJ']
name: baseline1, hole_card: ['S9', 'SA']
name: b10902075, hole_card: ['H7', 'CT']
name: baseline1, hole_card: ['S9', 'SA']
name: b10902075, hole_card: ['H7', 'CT']
community cards of this round: ['HQ', 'CK', 'D8', 'HT', 'S2']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
name: baseline1, hole_card: ['DT', 'H2']
name: b10902075, hole_card: ['DA', 'CA']
community cards of this round: ['HA', 'DT', 'SK', 'H6', 'CA']
name: baseline1, hole_card: ['SJ', 'H5']
name: b10902075, hole_card: ['HJ', 'S9']
name: baseline1, hole_card: ['SJ', 'H5']
name: b10902075, hole_card: ['HJ', 'S9']
community cards of this round: ['S4', 'C3', 'D8', 'HA', 'DT']
name: baseline1, hole_card: ['DQ', 'SA']
name: b10902075, hole_card: ['CQ', 'D3']
name: baseline1, hole_card: ['DQ', 'SA']
name: b10902075, hole_card: ['CQ', 'D3']
name: baseline1, hole_card: ['DQ', 'SA']
name: b10902075, hole_card: ['CQ', 'D3']
community cards of this round: ['HK', 'SA', 'DJ', 'D2', 'D6']
name: baseline1, hole_card: ['SQ', 'D5']
name: b10902075, hole_card: ['D9', 'S9']
name: baseline1, hole_card: ['SQ', 'D5']
name: b10902075, hole_card: ['D9', 'S9']
community cards of this round: ['SA', 'H8', 'D9', 'C4', 'HA']
name: baseline1, hole_card: ['C9', 'D4']
name: b10902075, hole_card: ['DQ', 'C5']
name: baseline1, hole_card: ['C9', 'D4']
name: b10902075, hole_card: ['DQ', 'C5']
name: baseline1, hole_card: ['C9', 'D4']
name: b10902075, hole_card: ['DQ', 'C5']
community cards of this round: ['C6', 'HQ', 'CT', 'SA', 'H8']
name: baseline1, hole_card: ['DT', 'C8']
name: b10902075, hole_card: ['H9', 'S8']
name: baseline1, hole_card: ['DT', 'C8']
name: b10902075, hole_card: ['H9', 'S8']
community cards of this round: ['H7', 'CT', 'HA', 'H3', 'C9']
name: baseline1, hole_card: ['D6', 'SQ']
name: b10902075, hole_card: ['CJ', 'C4']
name: baseline1, hole_card: ['D6', 'SQ']
name: b10902075, hole_card: ['CJ', 'C4']
name: baseline1, hole_card: ['D6', 'SQ']
name: b10902075, hole_card: ['CJ', 'C4']
community cards of this round: ['H9', 'H5', 'D2', 'S6', 'DK']
name: baseline1, hole_card: ['SA', 'C9']
name: b10902075, hole_card: ['H2', 'D6']
name: baseline1, hole_card: ['SA', 'C9']
name: b10902075, hole_card: ['H2', 'D6']
community cards of this round: ['D4', 'S3', 'HA', 'S7', 'DK']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902075, hole_card: ['C8', 'D9']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902075, hole_card: ['C8', 'D9']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902075, hole_card: ['C8', 'D9']
community cards of this round: ['S6', 'C8', 'S8', 'D9', 'D4']
name: baseline1, hole_card: ['C9', 'S2']
name: b10902075, hole_card: ['CQ', 'C5']
name: baseline1, hole_card: ['C9', 'S2']
name: b10902075, hole_card: ['CQ', 'C5']
community cards of this round: ['D2', 'S3', 'H2', 'DJ', 'S7']
name: baseline1, hole_card: ['C8', 'S6']
name: b10902075, hole_card: ['HK', 'DQ']
name: baseline1, hole_card: ['C8', 'S6']
name: b10902075, hole_card: ['HK', 'DQ']
name: baseline1, hole_card: ['C8', 'S6']
name: b10902075, hole_card: ['HK', 'DQ']
b10902075 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'crwbkfeesziprqngxeemch', 'stack': 729.9375, 'state': 'participating'}, {'name': 'b10902075', 'uuid': 'nynlxpormjrboklaexkrol', 'stack': 1269, 'state': 'participating'}]}
community cards of this round: ['ST', 'HJ', 'H7', 'HT', 'C3']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
name: b10902075, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['CJ', 'C8']
community cards of this round: ['ST', 'D7', 'H2', 'H7', 'H6']
name: b10902075, hole_card: ['S5', 'SJ']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902075, hole_card: ['S5', 'SJ']
name: baseline1, hole_card: ['DQ', 'H4']
community cards of this round: ['H8', 'S7', 'CK', 'S8', 'CJ']
name: b10902075, hole_card: ['D7', 'C5']
name: baseline1, hole_card: ['D2', 'CA']
name: b10902075, hole_card: ['D7', 'C5']
name: baseline1, hole_card: ['D2', 'CA']
name: b10902075, hole_card: ['D7', 'C5']
name: baseline1, hole_card: ['D2', 'CA']
community cards of this round: ['CA', 'C7', 'C5', 'HT', 'C2']
name: b10902075, hole_card: ['ST', 'C3']
name: baseline1, hole_card: ['H5', 'DT']
name: b10902075, hole_card: ['ST', 'C3']
name: baseline1, hole_card: ['H5', 'DT']
community cards of this round: ['S6', 'S4', 'H3', 'H8', 'S3']
