community cards of this round: ['HJ', 'H6', 'S8', 'H9', 'D8']
name: baseline1, hole_card: ['SQ', 'SA']
name: b10902076, hole_card: ['H4', 'DK']
name: baseline1, hole_card: ['SQ', 'SA']
name: b10902076, hole_card: ['H4', 'DK']
name: baseline1, hole_card: ['SQ', 'SA']
name: b10902076, hole_card: ['H4', 'DK']
name: baseline1, hole_card: ['SQ', 'SA']
name: b10902076, hole_card: ['H4', 'DK']
name: baseline1, hole_card: ['SQ', 'SA']
name: b10902076, hole_card: ['H4', 'DK']
name: baseline1, hole_card: ['SQ', 'SA']
name: b10902076, hole_card: ['H4', 'DK']
name: baseline1, hole_card: ['SQ', 'SA']
name: b10902076, hole_card: ['H4', 'DK']
name: baseline1, hole_card: ['SQ', 'SA']
name: b10902076, hole_card: ['H4', 'DK']
name: baseline1, hole_card: ['SQ', 'SA']
name: b10902076, hole_card: ['H4', 'DK']
community cards of this round: ['C3', 'C7', 'S5', 'S3', 'C4']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
name: baseline1, hole_card: ['HA', 'S6']
name: b10902076, hole_card: ['DJ', 'H6']
community cards of this round: ['S4', 'H7', 'HA', 'C5', 'H3']
name: baseline1, hole_card: ['C3', 'D7']
name: b10902076, hole_card: ['C6', 'D5']
name: baseline1, hole_card: ['C3', 'D7']
name: b10902076, hole_card: ['C6', 'D5']
name: baseline1, hole_card: ['C3', 'D7']
name: b10902076, hole_card: ['C6', 'D5']
name: baseline1, hole_card: ['C3', 'D7']
name: b10902076, hole_card: ['C6', 'D5']
community cards of this round: ['D4', 'CK', 'DK', 'H6', 'HT']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902076, hole_card: ['CQ', 'C8']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902076, hole_card: ['CQ', 'C8']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902076, hole_card: ['CQ', 'C8']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902076, hole_card: ['CQ', 'C8']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902076, hole_card: ['CQ', 'C8']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902076, hole_card: ['CQ', 'C8']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902076, hole_card: ['CQ', 'C8']
name: baseline1, hole_card: ['CJ', 'D2']
name: b10902076, hole_card: ['CQ', 'C8']
community cards of this round: ['HQ', 'C6', 'S9', 'H8', 'CQ']
name: baseline1, hole_card: ['SA', 'HA']
name: b10902076, hole_card: ['S4', 'D3']
name: baseline1, hole_card: ['SA', 'HA']
name: b10902076, hole_card: ['S4', 'D3']
name: baseline1, hole_card: ['SA', 'HA']
name: b10902076, hole_card: ['S4', 'D3']
name: baseline1, hole_card: ['SA', 'HA']
name: b10902076, hole_card: ['S4', 'D3']
name: baseline1, hole_card: ['SA', 'HA']
name: b10902076, hole_card: ['S4', 'D3']
community cards of this round: ['D9', 'S6', 'C7', 'SQ', 'HK']
name: baseline1, hole_card: ['DQ', 'C3']
name: b10902076, hole_card: ['HT', 'S9']
name: baseline1, hole_card: ['DQ', 'C3']
name: b10902076, hole_card: ['HT', 'S9']
name: baseline1, hole_card: ['DQ', 'C3']
name: b10902076, hole_card: ['HT', 'S9']
name: baseline1, hole_card: ['DQ', 'C3']
name: b10902076, hole_card: ['HT', 'S9']
name: baseline1, hole_card: ['DQ', 'C3']
name: b10902076, hole_card: ['HT', 'S9']
name: baseline1, hole_card: ['DQ', 'C3']
name: b10902076, hole_card: ['HT', 'S9']
name: baseline1, hole_card: ['DQ', 'C3']
name: b10902076, hole_card: ['HT', 'S9']
name: baseline1, hole_card: ['DQ', 'C3']
name: b10902076, hole_card: ['HT', 'S9']
name: baseline1, hole_card: ['DQ', 'C3']
name: b10902076, hole_card: ['HT', 'S9']
community cards of this round: ['C2', 'SA', 'SQ', 'D8', 'C9']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902076, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902076, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902076, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902076, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902076, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902076, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902076, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902076, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902076, hole_card: ['C8', 'SJ']
community cards of this round: ['ST', 'C6', 'H7', 'S4', 'S2']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['HK', 'D6']
name: baseline1, hole_card: ['H8', 'S8']
name: b10902076, hole_card: ['HK', 'D6']
community cards of this round: ['SJ', 'CT', 'H9', 'S4', 'HT']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902076, hole_card: ['DQ', 'H7']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902076, hole_card: ['DQ', 'H7']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902076, hole_card: ['DQ', 'H7']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902076, hole_card: ['DQ', 'H7']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902076, hole_card: ['DQ', 'H7']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902076, hole_card: ['DQ', 'H7']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902076, hole_card: ['DQ', 'H7']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902076, hole_card: ['DQ', 'H7']
name: baseline1, hole_card: ['H8', 'D5']
name: b10902076, hole_card: ['DQ', 'H7']
community cards of this round: ['D9', 'DT', 'DK', 'SA', 'H3']
name: baseline1, hole_card: ['C9', 'S3']
name: b10902076, hole_card: ['HQ', 'C2']
name: baseline1, hole_card: ['C9', 'S3']
name: b10902076, hole_card: ['HQ', 'C2']
name: baseline1, hole_card: ['C9', 'S3']
name: b10902076, hole_card: ['HQ', 'C2']
name: baseline1, hole_card: ['C9', 'S3']
name: b10902076, hole_card: ['HQ', 'C2']
name: baseline1, hole_card: ['C9', 'S3']
name: b10902076, hole_card: ['HQ', 'C2']
name: baseline1, hole_card: ['C9', 'S3']
name: b10902076, hole_card: ['HQ', 'C2']
name: baseline1, hole_card: ['C9', 'S3']
name: b10902076, hole_card: ['HQ', 'C2']
name: baseline1, hole_card: ['C9', 'S3']
name: b10902076, hole_card: ['HQ', 'C2']
name: baseline1, hole_card: ['C9', 'S3']
name: b10902076, hole_card: ['HQ', 'C2']
community cards of this round: ['C9', 'S7', 'D6', 'CT', 'S6']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10902076, hole_card: ['D4', 'C2']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10902076, hole_card: ['D4', 'C2']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10902076, hole_card: ['D4', 'C2']
name: baseline1, hole_card: ['CA', 'HQ']
name: b10902076, hole_card: ['D4', 'C2']
community cards of this round: ['SJ', 'H8', 'HT', 'DQ', 'DT']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902076, hole_card: ['D5', 'D3']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902076, hole_card: ['D5', 'D3']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902076, hole_card: ['D5', 'D3']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902076, hole_card: ['D5', 'D3']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902076, hole_card: ['D5', 'D3']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902076, hole_card: ['D5', 'D3']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902076, hole_card: ['D5', 'D3']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902076, hole_card: ['D5', 'D3']
name: baseline1, hole_card: ['C6', 'HA']
name: b10902076, hole_card: ['D5', 'D3']
community cards of this round: ['SA', 'DT', 'H6', 'C5', 'CQ']
name: baseline1, hole_card: ['C7', 'D2']
name: b10902076, hole_card: ['H9', 'C6']
name: baseline1, hole_card: ['C7', 'D2']
name: b10902076, hole_card: ['H9', 'C6']
name: baseline1, hole_card: ['C7', 'D2']
name: b10902076, hole_card: ['H9', 'C6']
name: baseline1, hole_card: ['C7', 'D2']
name: b10902076, hole_card: ['H9', 'C6']
name: baseline1, hole_card: ['C7', 'D2']
name: b10902076, hole_card: ['H9', 'C6']
community cards of this round: ['S4', 'H2', 'CK', 'S9', 'C8']
name: baseline1, hole_card: ['SA', 'DA']
name: b10902076, hole_card: ['D2', 'D6']
name: baseline1, hole_card: ['SA', 'DA']
