community cards of this round: ['DK', 'H5', 'D6', 'H3', 'SK']
name: baseline1, hole_card: ['C9', 'H7']
name: b10902087, hole_card: ['S4', 'CA']
name: baseline1, hole_card: ['C9', 'H7']
name: b10902087, hole_card: ['S4', 'CA']
name: baseline1, hole_card: ['C9', 'H7']
name: b10902087, hole_card: ['S4', 'CA']
name: baseline1, hole_card: ['C9', 'H7']
name: b10902087, hole_card: ['S4', 'CA']
name: baseline1, hole_card: ['C9', 'H7']
name: b10902087, hole_card: ['S4', 'CA']
name: baseline1, hole_card: ['C9', 'H7']
name: b10902087, hole_card: ['S4', 'CA']
name: baseline1, hole_card: ['C9', 'H7']
name: b10902087, hole_card: ['S4', 'CA']
name: baseline1, hole_card: ['C9', 'H7']
name: b10902087, hole_card: ['S4', 'CA']
name: baseline1, hole_card: ['C9', 'H7']
name: b10902087, hole_card: ['S4', 'CA']
community cards of this round: ['ST', 'H6', 'HJ', 'HK', 'C6']
name: baseline1, hole_card: ['SK', 'CQ']
name: b10902087, hole_card: ['S3', 'D5']
name: baseline1, hole_card: ['SK', 'CQ']
name: b10902087, hole_card: ['S3', 'D5']
name: baseline1, hole_card: ['SK', 'CQ']
name: b10902087, hole_card: ['S3', 'D5']
name: baseline1, hole_card: ['SK', 'CQ']
name: b10902087, hole_card: ['S3', 'D5']
name: baseline1, hole_card: ['SK', 'CQ']
name: b10902087, hole_card: ['S3', 'D5']
community cards of this round: ['C2', 'C9', 'C7', 'D9', 'S3']
name: baseline1, hole_card: ['SA', 'CQ']
name: b10902087, hole_card: ['CK', 'DT']
name: baseline1, hole_card: ['SA', 'CQ']
name: b10902087, hole_card: ['CK', 'DT']
name: baseline1, hole_card: ['SA', 'CQ']
name: b10902087, hole_card: ['CK', 'DT']
name: baseline1, hole_card: ['SA', 'CQ']
name: b10902087, hole_card: ['CK', 'DT']
name: baseline1, hole_card: ['SA', 'CQ']
name: b10902087, hole_card: ['CK', 'DT']
name: baseline1, hole_card: ['SA', 'CQ']
name: b10902087, hole_card: ['CK', 'DT']
name: baseline1, hole_card: ['SA', 'CQ']
name: b10902087, hole_card: ['CK', 'DT']
name: baseline1, hole_card: ['SA', 'CQ']
name: b10902087, hole_card: ['CK', 'DT']
name: baseline1, hole_card: ['SA', 'CQ']
name: b10902087, hole_card: ['CK', 'DT']
community cards of this round: ['H5', 'CA', 'C6', 'S7', 'D6']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
name: baseline1, hole_card: ['H3', 'S5']
name: b10902087, hole_card: ['H7', 'SA']
community cards of this round: ['C8', 'S2', 'H3', 'SQ', 'ST']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['D3', 'H8']
name: b10902087, hole_card: ['D6', 'C4']
community cards of this round: ['D4', 'H9', 'SA', 'H3', 'H2']
name: baseline1, hole_card: ['S8', 'D5']
name: b10902087, hole_card: ['H4', 'DT']
name: baseline1, hole_card: ['S8', 'D5']
name: b10902087, hole_card: ['H4', 'DT']
name: baseline1, hole_card: ['S8', 'D5']
name: b10902087, hole_card: ['H4', 'DT']
name: baseline1, hole_card: ['S8', 'D5']
name: b10902087, hole_card: ['H4', 'DT']
name: baseline1, hole_card: ['S8', 'D5']
