community cards of this round: ['DJ', 'D7', 'H7', 'ST', 'DA']
name: baseline1, hole_card: ['S2', 'D3']
name: b10902100, hole_card: ['DT', 'H2']
name: baseline1, hole_card: ['S2', 'D3']
name: b10902100, hole_card: ['DT', 'H2']
community cards of this round: ['H3', 'HA', 'C7', 'H6', 'S9']
name: baseline1, hole_card: ['C4', 'S8']
name: b10902100, hole_card: ['C6', 'H7']
name: baseline1, hole_card: ['C4', 'S8']
name: b10902100, hole_card: ['C6', 'H7']
name: baseline1, hole_card: ['C4', 'S8']
name: b10902100, hole_card: ['C6', 'H7']
community cards of this round: ['CT', 'C3', 'S2', 'D5', 'D2']
name: baseline1, hole_card: ['CA', 'SJ']
name: b10902100, hole_card: ['S4', 'HQ']
name: baseline1, hole_card: ['CA', 'SJ']
name: b10902100, hole_card: ['S4', 'HQ']
name: baseline1, hole_card: ['CA', 'SJ']
name: b10902100, hole_card: ['S4', 'HQ']
name: baseline1, hole_card: ['CA', 'SJ']
name: b10902100, hole_card: ['S4', 'HQ']
name: baseline1, hole_card: ['CA', 'SJ']
name: b10902100, hole_card: ['S4', 'HQ']
name: baseline1, hole_card: ['CA', 'SJ']
name: b10902100, hole_card: ['S4', 'HQ']
name: baseline1, hole_card: ['CA', 'SJ']
name: b10902100, hole_card: ['S4', 'HQ']
name: baseline1, hole_card: ['CA', 'SJ']
name: b10902100, hole_card: ['S4', 'HQ']
name: baseline1, hole_card: ['CA', 'SJ']
name: b10902100, hole_card: ['S4', 'HQ']
community cards of this round: ['D5', 'S4', 'D6', 'S7', 'C5']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
name: baseline1, hole_card: ['DQ', 'H4']
name: b10902100, hole_card: ['SK', 'S9']
community cards of this round: ['C2', 'CK', 'D3', 'D9', 'D6']
name: baseline1, hole_card: ['S6', 'HT']
name: b10902100, hole_card: ['CA', 'D5']
name: baseline1, hole_card: ['S6', 'HT']
name: b10902100, hole_card: ['CA', 'D5']
name: baseline1, hole_card: ['S6', 'HT']
name: b10902100, hole_card: ['CA', 'D5']
name: baseline1, hole_card: ['S6', 'HT']
name: b10902100, hole_card: ['CA', 'D5']
name: baseline1, hole_card: ['S6', 'HT']
name: b10902100, hole_card: ['CA', 'D5']
name: baseline1, hole_card: ['S6', 'HT']
name: b10902100, hole_card: ['CA', 'D5']
