community cards of this round: ['H7', 'C7', 'H9', 'S9', 'H8']
name: baseline1, hole_card: ['S2', 'S8']
name: b10902109, hole_card: ['CK', 'D9']
name: baseline1, hole_card: ['S2', 'S8']
name: b10902109, hole_card: ['CK', 'D9']
name: baseline1, hole_card: ['S2', 'S8']
name: b10902109, hole_card: ['CK', 'D9']
name: baseline1, hole_card: ['S2', 'S8']
name: b10902109, hole_card: ['CK', 'D9']
name: baseline1, hole_card: ['S2', 'S8']
name: b10902109, hole_card: ['CK', 'D9']
community cards of this round: ['CK', 'DA', 'CT', 'H6', 'S6']
name: baseline1, hole_card: ['CA', 'S4']
name: b10902109, hole_card: ['D7', 'S5']
name: baseline1, hole_card: ['CA', 'S4']
name: b10902109, hole_card: ['D7', 'S5']
name: baseline1, hole_card: ['CA', 'S4']
name: b10902109, hole_card: ['D7', 'S5']
name: baseline1, hole_card: ['CA', 'S4']
name: b10902109, hole_card: ['D7', 'S5']
name: baseline1, hole_card: ['CA', 'S4']
name: b10902109, hole_card: ['D7', 'S5']
name: baseline1, hole_card: ['CA', 'S4']
name: b10902109, hole_card: ['D7', 'S5']
community cards of this round: ['S7', 'D2', 'S6', 'C8', 'CJ']
name: baseline1, hole_card: ['C6', 'C9']
name: b10902109, hole_card: ['DT', 'S8']
name: baseline1, hole_card: ['C6', 'C9']
name: b10902109, hole_card: ['DT', 'S8']
name: baseline1, hole_card: ['C6', 'C9']
name: b10902109, hole_card: ['DT', 'S8']
name: baseline1, hole_card: ['C6', 'C9']
name: b10902109, hole_card: ['DT', 'S8']
name: baseline1, hole_card: ['C6', 'C9']
name: b10902109, hole_card: ['DT', 'S8']
name: baseline1, hole_card: ['C6', 'C9']
name: b10902109, hole_card: ['DT', 'S8']
name: baseline1, hole_card: ['C6', 'C9']
name: b10902109, hole_card: ['DT', 'S8']
name: baseline1, hole_card: ['C6', 'C9']
name: b10902109, hole_card: ['DT', 'S8']
name: baseline1, hole_card: ['C6', 'C9']
name: b10902109, hole_card: ['DT', 'S8']
b10902109 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'cbolyhgmpogcbkbqjxthnm', 'stack': 0, 'state': 'folded'}, {'name': 'b10902109', 'uuid': 'qismhxggjsmlevlvvhrnea', 'stack': 1998.0, 'state': 'participating'}]}
community cards of this round: ['H7', 'C7', 'H9', 'S9', 'H8']
name: b10902109, hole_card: ['S2', 'S8']
name: baseline1, hole_card: ['CK', 'D9']
name: b10902109, hole_card: ['S2', 'S8']
name: baseline1, hole_card: ['CK', 'D9']
name: b10902109, hole_card: ['S2', 'S8']
name: baseline1, hole_card: ['CK', 'D9']
name: b10902109, hole_card: ['S2', 'S8']
name: baseline1, hole_card: ['CK', 'D9']
name: b10902109, hole_card: ['S2', 'S8']
name: baseline1, hole_card: ['CK', 'D9']
name: b10902109, hole_card: ['S2', 'S8']
name: baseline1, hole_card: ['CK', 'D9']
community cards of this round: ['CK', 'DA', 'CT', 'H6', 'S6']
name: b10902109, hole_card: ['CA', 'S4']
name: baseline1, hole_card: ['D7', 'S5']
name: b10902109, hole_card: ['CA', 'S4']
name: baseline1, hole_card: ['D7', 'S5']
name: b10902109, hole_card: ['CA', 'S4']
name: baseline1, hole_card: ['D7', 'S5']
name: b10902109, hole_card: ['CA', 'S4']
name: baseline1, hole_card: ['D7', 'S5']
name: b10902109, hole_card: ['CA', 'S4']
name: baseline1, hole_card: ['D7', 'S5']
community cards of this round: ['S7', 'D2', 'S6', 'C8', 'CJ']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
name: b10902109, hole_card: ['C6', 'C9']
name: baseline1, hole_card: ['DT', 'S8']
b10902109 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902109', 'uuid': 'hrptdvpaiceoqieqezenxt', 'stack': 0, 'state': 'folded'}, {'name': 'baseline1', 'uuid': 'jajbcrxlovcrsooladdscv', 'stack': 1998.7485714285715, 'state': 'participating'}]}
community cards of this round: ['C6', 'H2', 'D4', 'D5', 'C8']
name: baseline1, hole_card: ['HQ', 'C3']
name: b10902109, hole_card: ['CJ', 'C2']
name: baseline1, hole_card: ['HQ', 'C3']
name: b10902109, hole_card: ['CJ', 'C2']
name: baseline1, hole_card: ['HQ', 'C3']
name: b10902109, hole_card: ['CJ', 'C2']
name: baseline1, hole_card: ['HQ', 'C3']
name: b10902109, hole_card: ['CJ', 'C2']
name: baseline1, hole_card: ['HQ', 'C3']
name: b10902109, hole_card: ['CJ', 'C2']
name: baseline1, hole_card: ['HQ', 'C3']
name: b10902109, hole_card: ['CJ', 'C2']
community cards of this round: ['DK', 'D4', 'S9', 'H5', 'D5']
name: baseline1, hole_card: ['CK', 'H3']
name: b10902109, hole_card: ['C2', 'C8']
name: baseline1, hole_card: ['CK', 'H3']
name: b10902109, hole_card: ['C2', 'C8']
name: baseline1, hole_card: ['CK', 'H3']
name: b10902109, hole_card: ['C2', 'C8']
name: baseline1, hole_card: ['CK', 'H3']
name: b10902109, hole_card: ['C2', 'C8']
