community cards of this round: ['C8', 'C4', 'CQ', 'CA', 'S7']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902111, hole_card: ['H8', 'DQ']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902111, hole_card: ['H8', 'DQ']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902111, hole_card: ['H8', 'DQ']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902111, hole_card: ['H8', 'DQ']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902111, hole_card: ['H8', 'DQ']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902111, hole_card: ['H8', 'DQ']
name: baseline1, hole_card: ['D3', 'H4']
name: b10902111, hole_card: ['H8', 'DQ']
community cards of this round: ['S2', 'D3', 'D8', 'CK', 'DA']
name: baseline1, hole_card: ['CQ', 'H4']
name: b10902111, hole_card: ['S5', 'D6']
name: baseline1, hole_card: ['CQ', 'H4']
name: b10902111, hole_card: ['S5', 'D6']
name: baseline1, hole_card: ['CQ', 'H4']
name: b10902111, hole_card: ['S5', 'D6']
name: baseline1, hole_card: ['CQ', 'H4']
name: b10902111, hole_card: ['S5', 'D6']
name: baseline1, hole_card: ['CQ', 'H4']
name: b10902111, hole_card: ['S5', 'D6']
community cards of this round: ['H7', 'S3', 'HA', 'CA', 'SA']
name: baseline1, hole_card: ['S4', 'DJ']
name: b10902111, hole_card: ['ST', 'C6']
name: baseline1, hole_card: ['S4', 'DJ']
name: b10902111, hole_card: ['ST', 'C6']
name: baseline1, hole_card: ['S4', 'DJ']
name: b10902111, hole_card: ['ST', 'C6']
name: baseline1, hole_card: ['S4', 'DJ']
name: b10902111, hole_card: ['ST', 'C6']
community cards of this round: ['CQ', 'CT', 'CA', 'DJ', 'C9']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
name: baseline1, hole_card: ['DK', 'C8']
name: b10902111, hole_card: ['D4', 'SQ']
community cards of this round: ['H2', 'H8', 'D2', 'C9', 'S2']
name: baseline1, hole_card: ['CK', 'DQ']
name: b10902111, hole_card: ['C3', 'S7']
name: baseline1, hole_card: ['CK', 'DQ']
name: b10902111, hole_card: ['C3', 'S7']
community cards of this round: ['HJ', 'C2', 'D7', 'D5', 'S9']
name: baseline1, hole_card: ['C6', 'C7']
name: b10902111, hole_card: ['D2', 'S5']
name: baseline1, hole_card: ['C6', 'C7']
name: b10902111, hole_card: ['D2', 'S5']
name: baseline1, hole_card: ['C6', 'C7']
name: b10902111, hole_card: ['D2', 'S5']
community cards of this round: ['HA', 'H3', 'S6', 'S5', 'CT']
name: baseline1, hole_card: ['SQ', 'H6']
name: b10902111, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['SQ', 'H6']
name: b10902111, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['SQ', 'H6']
name: b10902111, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['SQ', 'H6']
name: b10902111, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['SQ', 'H6']
name: b10902111, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['SQ', 'H6']
name: b10902111, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['SQ', 'H6']
name: b10902111, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['SQ', 'H6']
name: b10902111, hole_card: ['CA', 'H8']
name: baseline1, hole_card: ['SQ', 'H6']
name: b10902111, hole_card: ['CA', 'H8']
community cards of this round: ['C2', 'SA', 'S9', 'HQ', 'H6']
name: baseline1, hole_card: ['HK', 'DK']
name: b10902111, hole_card: ['HA', 'SK']
name: baseline1, hole_card: ['HK', 'DK']
name: b10902111, hole_card: ['HA', 'SK']
name: baseline1, hole_card: ['HK', 'DK']
name: b10902111, hole_card: ['HA', 'SK']
name: baseline1, hole_card: ['HK', 'DK']
name: b10902111, hole_card: ['HA', 'SK']
name: baseline1, hole_card: ['HK', 'DK']
name: b10902111, hole_card: ['HA', 'SK']
name: baseline1, hole_card: ['HK', 'DK']
name: b10902111, hole_card: ['HA', 'SK']
name: baseline1, hole_card: ['HK', 'DK']
name: b10902111, hole_card: ['HA', 'SK']
name: baseline1, hole_card: ['HK', 'DK']
name: b10902111, hole_card: ['HA', 'SK']
name: baseline1, hole_card: ['HK', 'DK']
