community cards of this round: ['S2', 'H8', 'DQ', 'S7', 'DT']
name: baseline1, hole_card: ['S8', 'HA']
name: b10902113, hole_card: ['H9', 'CA']
name: baseline1, hole_card: ['S8', 'HA']
name: b10902113, hole_card: ['H9', 'CA']
name: baseline1, hole_card: ['S8', 'HA']
name: b10902113, hole_card: ['H9', 'CA']
name: baseline1, hole_card: ['S8', 'HA']
name: b10902113, hole_card: ['H9', 'CA']
name: baseline1, hole_card: ['S8', 'HA']
name: b10902113, hole_card: ['H9', 'CA']
name: baseline1, hole_card: ['S8', 'HA']
name: b10902113, hole_card: ['H9', 'CA']
name: baseline1, hole_card: ['S8', 'HA']
name: b10902113, hole_card: ['H9', 'CA']
name: baseline1, hole_card: ['S8', 'HA']
name: b10902113, hole_card: ['H9', 'CA']
name: baseline1, hole_card: ['S8', 'HA']
name: b10902113, hole_card: ['H9', 'CA']
community cards of this round: ['D8', 'C9', 'HK', 'DJ', 'HA']
name: baseline1, hole_card: ['H2', 'C8']
name: b10902113, hole_card: ['H4', 'H8']
name: baseline1, hole_card: ['H2', 'C8']
name: b10902113, hole_card: ['H4', 'H8']
name: baseline1, hole_card: ['H2', 'C8']
name: b10902113, hole_card: ['H4', 'H8']
name: baseline1, hole_card: ['H2', 'C8']
name: b10902113, hole_card: ['H4', 'H8']
name: baseline1, hole_card: ['H2', 'C8']
name: b10902113, hole_card: ['H4', 'H8']
name: baseline1, hole_card: ['H2', 'C8']
name: b10902113, hole_card: ['H4', 'H8']
name: baseline1, hole_card: ['H2', 'C8']
name: b10902113, hole_card: ['H4', 'H8']
name: baseline1, hole_card: ['H2', 'C8']
name: b10902113, hole_card: ['H4', 'H8']
name: baseline1, hole_card: ['H2', 'C8']
name: b10902113, hole_card: ['H4', 'H8']
community cards of this round: ['H4', 'S9', 'D9', 'D2', 'S4']
name: baseline1, hole_card: ['H9', 'HT']
name: b10902113, hole_card: ['C7', 'H2']
name: baseline1, hole_card: ['H9', 'HT']
name: b10902113, hole_card: ['C7', 'H2']
name: baseline1, hole_card: ['H9', 'HT']
name: b10902113, hole_card: ['C7', 'H2']
name: baseline1, hole_card: ['H9', 'HT']
