community cards of this round: ['ST', 'H8', 'H5', 'DJ', 'S3']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
name: baseline1, hole_card: ['HJ', 'S6']
name: b10902114, hole_card: ['D7', 'CJ']
community cards of this round: ['D4', 'H7', 'D7', 'S2', 'DA']
name: baseline1, hole_card: ['DT', 'S9']
name: b10902114, hole_card: ['C6', 'C8']
name: baseline1, hole_card: ['DT', 'S9']
name: b10902114, hole_card: ['C6', 'C8']
name: baseline1, hole_card: ['DT', 'S9']
name: b10902114, hole_card: ['C6', 'C8']
name: baseline1, hole_card: ['DT', 'S9']
name: b10902114, hole_card: ['C6', 'C8']
name: baseline1, hole_card: ['DT', 'S9']
name: b10902114, hole_card: ['C6', 'C8']
name: baseline1, hole_card: ['DT', 'S9']
name: b10902114, hole_card: ['C6', 'C8']
name: baseline1, hole_card: ['DT', 'S9']
name: b10902114, hole_card: ['C6', 'C8']
community cards of this round: ['SA', 'C2', 'CJ', 'S9', 'SQ']
name: baseline1, hole_card: ['D5', 'HK']
name: b10902114, hole_card: ['S4', 'H7']
name: baseline1, hole_card: ['D5', 'HK']
name: b10902114, hole_card: ['S4', 'H7']
name: baseline1, hole_card: ['D5', 'HK']
name: b10902114, hole_card: ['S4', 'H7']
name: baseline1, hole_card: ['D5', 'HK']
name: b10902114, hole_card: ['S4', 'H7']
community cards of this round: ['H9', 'SA', 'SK', 'ST', 'D2']
name: baseline1, hole_card: ['C2', 'D7']
name: b10902114, hole_card: ['S8', 'H4']
name: baseline1, hole_card: ['C2', 'D7']
name: b10902114, hole_card: ['S8', 'H4']
name: baseline1, hole_card: ['C2', 'D7']
name: b10902114, hole_card: ['S8', 'H4']
name: baseline1, hole_card: ['C2', 'D7']
name: b10902114, hole_card: ['S8', 'H4']
community cards of this round: ['C6', 'D7', 'C8', 'S7', 'D6']
name: baseline1, hole_card: ['H4', 'S2']
name: b10902114, hole_card: ['CQ', 'H9']
name: baseline1, hole_card: ['H4', 'S2']
name: b10902114, hole_card: ['CQ', 'H9']
name: baseline1, hole_card: ['H4', 'S2']
name: b10902114, hole_card: ['CQ', 'H9']
name: baseline1, hole_card: ['H4', 'S2']
name: b10902114, hole_card: ['CQ', 'H9']
name: baseline1, hole_card: ['H4', 'S2']
name: b10902114, hole_card: ['CQ', 'H9']
community cards of this round: ['D3', 'D6', 'S9', 'S8', 'D5']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
name: baseline1, hole_card: ['C9', 'HT']
name: b10902114, hole_card: ['H6', 'C8']
community cards of this round: ['CJ', 'S7', 'H2', 'S6', 'C4']
name: baseline1, hole_card: ['D3', 'HT']
name: b10902114, hole_card: ['C8', 'H7']
name: baseline1, hole_card: ['D3', 'HT']
name: b10902114, hole_card: ['C8', 'H7']
name: baseline1, hole_card: ['D3', 'HT']
name: b10902114, hole_card: ['C8', 'H7']
name: baseline1, hole_card: ['D3', 'HT']
name: b10902114, hole_card: ['C8', 'H7']
name: baseline1, hole_card: ['D3', 'HT']
name: b10902114, hole_card: ['C8', 'H7']
name: baseline1, hole_card: ['D3', 'HT']
name: b10902114, hole_card: ['C8', 'H7']
name: baseline1, hole_card: ['D3', 'HT']
name: b10902114, hole_card: ['C8', 'H7']
community cards of this round: ['HK', 'C9', 'DK', 'HT', 'SJ']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
name: baseline1, hole_card: ['H8', 'C7']
name: b10902114, hole_card: ['H5', 'S9']
community cards of this round: ['H4', 'DA', 'D3', 'S4', 'H6']
name: baseline1, hole_card: ['HQ', 'C8']
name: b10902114, hole_card: ['C3', 'DJ']
name: baseline1, hole_card: ['HQ', 'C8']
name: b10902114, hole_card: ['C3', 'DJ']
name: baseline1, hole_card: ['HQ', 'C8']
name: b10902114, hole_card: ['C3', 'DJ']
name: baseline1, hole_card: ['HQ', 'C8']
name: b10902114, hole_card: ['C3', 'DJ']
name: baseline1, hole_card: ['HQ', 'C8']
name: b10902114, hole_card: ['C3', 'DJ']
name: baseline1, hole_card: ['HQ', 'C8']
name: b10902114, hole_card: ['C3', 'DJ']
name: baseline1, hole_card: ['HQ', 'C8']
name: b10902114, hole_card: ['C3', 'DJ']
name: baseline1, hole_card: ['HQ', 'C8']
name: b10902114, hole_card: ['C3', 'DJ']
name: baseline1, hole_card: ['HQ', 'C8']
name: b10902114, hole_card: ['C3', 'DJ']
community cards of this round: ['SA', 'H4', 'DQ', 'C9', 'D8']
name: baseline1, hole_card: ['DK', 'HA']
name: b10902114, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DK', 'HA']
name: b10902114, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DK', 'HA']
name: b10902114, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DK', 'HA']
name: b10902114, hole_card: ['D5', 'DT']
name: baseline1, hole_card: ['DK', 'HA']
name: b10902114, hole_card: ['D5', 'DT']
community cards of this round: ['H6', 'S8', 'H7', 'H8', 'CK']
name: baseline1, hole_card: ['SA', 'C5']
name: b10902114, hole_card: ['D8', 'C8']
name: baseline1, hole_card: ['SA', 'C5']
name: b10902114, hole_card: ['D8', 'C8']
name: baseline1, hole_card: ['SA', 'C5']
name: b10902114, hole_card: ['D8', 'C8']
name: baseline1, hole_card: ['SA', 'C5']
name: b10902114, hole_card: ['D8', 'C8']
name: baseline1, hole_card: ['SA', 'C5']
name: b10902114, hole_card: ['D8', 'C8']
name: baseline1, hole_card: ['SA', 'C5']
name: b10902114, hole_card: ['D8', 'C8']
name: baseline1, hole_card: ['SA', 'C5']
name: b10902114, hole_card: ['D8', 'C8']
name: baseline1, hole_card: ['SA', 'C5']
name: b10902114, hole_card: ['D8', 'C8']
name: baseline1, hole_card: ['SA', 'C5']
name: b10902114, hole_card: ['D8', 'C8']
community cards of this round: ['H8', 'C3', 'S2', 'D9', 'HA']
name: baseline1, hole_card: ['C5', 'CQ']
name: b10902114, hole_card: ['HJ', 'H3']
name: baseline1, hole_card: ['C5', 'CQ']
name: b10902114, hole_card: ['HJ', 'H3']
name: baseline1, hole_card: ['C5', 'CQ']
name: b10902114, hole_card: ['HJ', 'H3']
community cards of this round: ['S7', 'C7', 'C8', 'S9', 'S8']
name: baseline1, hole_card: ['CJ', 'SQ']
name: b10902114, hole_card: ['H6', 'SJ']
name: baseline1, hole_card: ['CJ', 'SQ']
name: b10902114, hole_card: ['H6', 'SJ']
community cards of this round: ['H6', 'HA', 'S4', 'SK', 'C4']
name: baseline1, hole_card: ['H8', 'CK']
name: b10902114, hole_card: ['C9', 'C2']
name: baseline1, hole_card: ['H8', 'CK']
name: b10902114, hole_card: ['C9', 'C2']
name: baseline1, hole_card: ['H8', 'CK']
name: b10902114, hole_card: ['C9', 'C2']
community cards of this round: ['H7', 'H4', 'DT', 'D6', 'HJ']
name: baseline1, hole_card: ['CA', 'S5']
name: b10902114, hole_card: ['ST', 'D9']
name: baseline1, hole_card: ['CA', 'S5']
name: b10902114, hole_card: ['ST', 'D9']
community cards of this round: ['D5', 'H9', 'SJ', 'S4', 'S9']
name: baseline1, hole_card: ['DA', 'C2']
name: b10902114, hole_card: ['C4', 'C5']
name: baseline1, hole_card: ['DA', 'C2']
name: b10902114, hole_card: ['C4', 'C5']
name: baseline1, hole_card: ['DA', 'C2']
name: b10902114, hole_card: ['C4', 'C5']
community cards of this round: ['S3', 'ST', 'CJ', 'CQ', 'C5']
name: baseline1, hole_card: ['HJ', 'C9']
name: b10902114, hole_card: ['CA', 'S5']
name: baseline1, hole_card: ['HJ', 'C9']
name: b10902114, hole_card: ['CA', 'S5']
community cards of this round: ['HK', 'H8', 'DK', 'DQ', 'SK']
name: baseline1, hole_card: ['C8', 'CA']
name: b10902114, hole_card: ['S9', 'DA']
name: baseline1, hole_card: ['C8', 'CA']
name: b10902114, hole_card: ['S9', 'DA']
name: baseline1, hole_card: ['C8', 'CA']
name: b10902114, hole_card: ['S9', 'DA']
community cards of this round: ['H5', 'S2', 'C4', 'ST', 'DQ']
name: baseline1, hole_card: ['HJ', 'SA']
name: b10902114, hole_card: ['S4', 'CJ']
name: baseline1, hole_card: ['HJ', 'SA']
name: b10902114, hole_card: ['S4', 'CJ']
community cards of this round: ['CA', 'H6', 'HJ', 'H9', 'DJ']
name: baseline1, hole_card: ['HA', 'H4']
name: b10902114, hole_card: ['S3', 'DK']
name: baseline1, hole_card: ['HA', 'H4']
name: b10902114, hole_card: ['S3', 'DK']
name: baseline1, hole_card: ['HA', 'H4']
name: b10902114, hole_card: ['S3', 'DK']
b10902114 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'ojuloxaorwchfdgvshbsss', 'stack': 242.0250000000001, 'state': 'participating'}, {'name': 'b10902114', 'uuid': 'lqtvxhkpqrypbulfteqtxz', 'stack': 1756.0, 'state': 'participating'}]}
community cards of this round: ['ST', 'H8', 'H5', 'DJ', 'S3']
name: b10902114, hole_card: ['HJ', 'S6']
name: baseline1, hole_card: ['D7', 'CJ']
name: b10902114, hole_card: ['HJ', 'S6']
name: baseline1, hole_card: ['D7', 'CJ']
name: b10902114, hole_card: ['HJ', 'S6']
name: baseline1, hole_card: ['D7', 'CJ']
name: b10902114, hole_card: ['HJ', 'S6']
name: baseline1, hole_card: ['D7', 'CJ']
name: b10902114, hole_card: ['HJ', 'S6']
name: baseline1, hole_card: ['D7', 'CJ']
community cards of this round: ['D4', 'H7', 'D7', 'S2', 'DA']
name: b10902114, hole_card: ['DT', 'S9']
name: baseline1, hole_card: ['C6', 'C8']
name: b10902114, hole_card: ['DT', 'S9']
name: baseline1, hole_card: ['C6', 'C8']
name: b10902114, hole_card: ['DT', 'S9']
name: baseline1, hole_card: ['C6', 'C8']
name: b10902114, hole_card: ['DT', 'S9']
name: baseline1, hole_card: ['C6', 'C8']
name: b10902114, hole_card: ['DT', 'S9']
name: baseline1, hole_card: ['C6', 'C8']
name: b10902114, hole_card: ['DT', 'S9']
name: baseline1, hole_card: ['C6', 'C8']
community cards of this round: ['SA', 'C2', 'CJ', 'S9', 'SQ']
name: b10902114, hole_card: ['D5', 'HK']
name: baseline1, hole_card: ['S4', 'H7']
name: b10902114, hole_card: ['D5', 'HK']
name: baseline1, hole_card: ['S4', 'H7']
name: b10902114, hole_card: ['D5', 'HK']
name: baseline1, hole_card: ['S4', 'H7']
name: b10902114, hole_card: ['D5', 'HK']
name: baseline1, hole_card: ['S4', 'H7']
community cards of this round: ['H9', 'SA', 'SK', 'ST', 'D2']
name: b10902114, hole_card: ['C2', 'D7']
name: baseline1, hole_card: ['S8', 'H4']
name: b10902114, hole_card: ['C2', 'D7']
name: baseline1, hole_card: ['S8', 'H4']
community cards of this round: ['C6', 'D7', 'C8', 'S7', 'D6']
name: b10902114, hole_card: ['H4', 'S2']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10902114, hole_card: ['H4', 'S2']
name: baseline1, hole_card: ['CQ', 'H9']
name: b10902114, hole_card: ['H4', 'S2']
name: baseline1, hole_card: ['CQ', 'H9']
community cards of this round: ['D3', 'D6', 'S9', 'S8', 'D5']
name: b10902114, hole_card: ['C9', 'HT']
name: baseline1, hole_card: ['H6', 'C8']
name: b10902114, hole_card: ['C9', 'HT']
name: baseline1, hole_card: ['H6', 'C8']
name: b10902114, hole_card: ['C9', 'HT']
name: baseline1, hole_card: ['H6', 'C8']
name: b10902114, hole_card: ['C9', 'HT']
name: baseline1, hole_card: ['H6', 'C8']
name: b10902114, hole_card: ['C9', 'HT']
name: baseline1, hole_card: ['H6', 'C8']
name: b10902114, hole_card: ['C9', 'HT']
name: baseline1, hole_card: ['H6', 'C8']
community cards of this round: ['CJ', 'S7', 'H2', 'S6', 'C4']
name: b10902114, hole_card: ['D3', 'HT']
name: baseline1, hole_card: ['C8', 'H7']
name: b10902114, hole_card: ['D3', 'HT']
name: baseline1, hole_card: ['C8', 'H7']
name: b10902114, hole_card: ['D3', 'HT']
name: baseline1, hole_card: ['C8', 'H7']
name: b10902114, hole_card: ['D3', 'HT']
name: baseline1, hole_card: ['C8', 'H7']
name: b10902114, hole_card: ['D3', 'HT']
name: baseline1, hole_card: ['C8', 'H7']
community cards of this round: ['HK', 'C9', 'DK', 'HT', 'SJ']
name: b10902114, hole_card: ['H8', 'C7']
name: baseline1, hole_card: ['H5', 'S9']
name: b10902114, hole_card: ['H8', 'C7']
name: baseline1, hole_card: ['H5', 'S9']
name: b10902114, hole_card: ['H8', 'C7']
name: baseline1, hole_card: ['H5', 'S9']
name: b10902114, hole_card: ['H8', 'C7']
name: baseline1, hole_card: ['H5', 'S9']
name: b10902114, hole_card: ['H8', 'C7']
name: baseline1, hole_card: ['H5', 'S9']
name: b10902114, hole_card: ['H8', 'C7']
name: baseline1, hole_card: ['H5', 'S9']
name: b10902114, hole_card: ['H8', 'C7']
