community cards of this round: ['C9', 'H2', 'SJ', 'C4', 'CA']
name: baseline1, hole_card: ['H3', 'D3']
name: b10902123, hole_card: ['DA', 'S6']
name: baseline1, hole_card: ['H3', 'D3']
name: b10902123, hole_card: ['DA', 'S6']
name: baseline1, hole_card: ['H3', 'D3']
name: b10902123, hole_card: ['DA', 'S6']
name: baseline1, hole_card: ['H3', 'D3']
name: b10902123, hole_card: ['DA', 'S6']
name: baseline1, hole_card: ['H3', 'D3']
name: b10902123, hole_card: ['DA', 'S6']
name: baseline1, hole_card: ['H3', 'D3']
name: b10902123, hole_card: ['DA', 'S6']
name: baseline1, hole_card: ['H3', 'D3']
name: b10902123, hole_card: ['DA', 'S6']
name: baseline1, hole_card: ['H3', 'D3']
name: b10902123, hole_card: ['DA', 'S6']
name: baseline1, hole_card: ['H3', 'D3']
name: b10902123, hole_card: ['DA', 'S6']
community cards of this round: ['D8', 'S9', 'S3', 'C7', 'SQ']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902123, hole_card: ['C2', 'H7']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902123, hole_card: ['C2', 'H7']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902123, hole_card: ['C2', 'H7']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902123, hole_card: ['C2', 'H7']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902123, hole_card: ['C2', 'H7']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902123, hole_card: ['C2', 'H7']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902123, hole_card: ['C2', 'H7']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902123, hole_card: ['C2', 'H7']
name: baseline1, hole_card: ['DQ', 'DT']
name: b10902123, hole_card: ['C2', 'H7']
community cards of this round: ['S2', 'HJ', 'SJ', 'SA', 'C6']
name: baseline1, hole_card: ['H7', 'D3']
name: b10902123, hole_card: ['S6', 'CQ']
name: baseline1, hole_card: ['H7', 'D3']
name: b10902123, hole_card: ['S6', 'CQ']
name: baseline1, hole_card: ['H7', 'D3']
name: b10902123, hole_card: ['S6', 'CQ']
name: baseline1, hole_card: ['H7', 'D3']
name: b10902123, hole_card: ['S6', 'CQ']
name: baseline1, hole_card: ['H7', 'D3']
name: b10902123, hole_card: ['S6', 'CQ']
community cards of this round: ['H4', 'CT', 'D3', 'D6', 'D2']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
name: baseline1, hole_card: ['DT', 'S4']
name: b10902123, hole_card: ['HA', 'SQ']
community cards of this round: ['H5', 'SK', 'H7', 'H6', 'SA']
name: baseline1, hole_card: ['SQ', 'HQ']
name: b10902123, hole_card: ['C5', 'HT']
name: baseline1, hole_card: ['SQ', 'HQ']
name: b10902123, hole_card: ['C5', 'HT']
community cards of this round: ['H2', 'C4', 'CA', 'C5', 'HJ']
name: baseline1, hole_card: ['S6', 'DT']
name: b10902123, hole_card: ['H6', 'D6']
name: baseline1, hole_card: ['S6', 'DT']
name: b10902123, hole_card: ['H6', 'D6']
name: baseline1, hole_card: ['S6', 'DT']
name: b10902123, hole_card: ['H6', 'D6']
name: baseline1, hole_card: ['S6', 'DT']
name: b10902123, hole_card: ['H6', 'D6']
name: baseline1, hole_card: ['S6', 'DT']
name: b10902123, hole_card: ['H6', 'D6']
name: baseline1, hole_card: ['S6', 'DT']
name: b10902123, hole_card: ['H6', 'D6']
name: baseline1, hole_card: ['S6', 'DT']
name: b10902123, hole_card: ['H6', 'D6']
community cards of this round: ['ST', 'D4', 'SA', 'S5', 'S4']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
name: baseline1, hole_card: ['H4', 'H5']
name: b10902123, hole_card: ['H2', 'CJ']
community cards of this round: ['DT', 'S4', 'C7', 'H7', 'C9']
name: baseline1, hole_card: ['D8', 'H8']
name: b10902123, hole_card: ['H4', 'C3']
name: baseline1, hole_card: ['D8', 'H8']
