community cards of this round: ['S4', 'SQ', 'D8', 'H3', 'DT']
name: baseline1, hole_card: ['H2', 'HA']
name: b11902051, hole_card: ['C7', 'ST']
name: baseline1, hole_card: ['H2', 'HA']
name: b11902051, hole_card: ['C7', 'ST']
name: baseline1, hole_card: ['H2', 'HA']
name: b11902051, hole_card: ['C7', 'ST']
name: baseline1, hole_card: ['H2', 'HA']
name: b11902051, hole_card: ['C7', 'ST']
name: baseline1, hole_card: ['H2', 'HA']
name: b11902051, hole_card: ['C7', 'ST']
name: baseline1, hole_card: ['H2', 'HA']
name: b11902051, hole_card: ['C7', 'ST']
name: baseline1, hole_card: ['H2', 'HA']
name: b11902051, hole_card: ['C7', 'ST']
name: baseline1, hole_card: ['H2', 'HA']
name: b11902051, hole_card: ['C7', 'ST']
name: baseline1, hole_card: ['H2', 'HA']
name: b11902051, hole_card: ['C7', 'ST']
community cards of this round: ['H6', 'DK', 'H5', 'SJ', 'CK']
name: baseline1, hole_card: ['H9', 'CT']
name: b11902051, hole_card: ['S2', 'CQ']
name: baseline1, hole_card: ['H9', 'CT']
name: b11902051, hole_card: ['S2', 'CQ']
name: baseline1, hole_card: ['H9', 'CT']
name: b11902051, hole_card: ['S2', 'CQ']
name: baseline1, hole_card: ['H9', 'CT']
name: b11902051, hole_card: ['S2', 'CQ']
name: baseline1, hole_card: ['H9', 'CT']
name: b11902051, hole_card: ['S2', 'CQ']
name: baseline1, hole_card: ['H9', 'CT']
name: b11902051, hole_card: ['S2', 'CQ']
name: baseline1, hole_card: ['H9', 'CT']
name: b11902051, hole_card: ['S2', 'CQ']
name: baseline1, hole_card: ['H9', 'CT']
name: b11902051, hole_card: ['S2', 'CQ']
name: baseline1, hole_card: ['H9', 'CT']
name: b11902051, hole_card: ['S2', 'CQ']
community cards of this round: ['D9', 'C7', 'D8', 'DQ', 'D2']
name: baseline1, hole_card: ['SQ', 'H6']
name: b11902051, hole_card: ['H7', 'SK']
name: baseline1, hole_card: ['SQ', 'H6']
name: b11902051, hole_card: ['H7', 'SK']
name: baseline1, hole_card: ['SQ', 'H6']
name: b11902051, hole_card: ['H7', 'SK']
