community cards of this round: ['SJ', 'DA', 'HK', 'S4', 'DQ']
name: baseline1, hole_card: ['CK', 'S2']
name: b11902067, hole_card: ['SA', 'H7']
name: baseline1, hole_card: ['CK', 'S2']
name: b11902067, hole_card: ['SA', 'H7']
name: baseline1, hole_card: ['CK', 'S2']
name: b11902067, hole_card: ['SA', 'H7']
name: baseline1, hole_card: ['CK', 'S2']
name: b11902067, hole_card: ['SA', 'H7']
name: baseline1, hole_card: ['CK', 'S2']
name: b11902067, hole_card: ['SA', 'H7']
name: baseline1, hole_card: ['CK', 'S2']
name: b11902067, hole_card: ['SA', 'H7']
name: baseline1, hole_card: ['CK', 'S2']
name: b11902067, hole_card: ['SA', 'H7']
name: baseline1, hole_card: ['CK', 'S2']
name: b11902067, hole_card: ['SA', 'H7']
name: baseline1, hole_card: ['CK', 'S2']
name: b11902067, hole_card: ['SA', 'H7']
community cards of this round: ['D5', 'CT', 'S7', 'H5', 'D4']
name: baseline1, hole_card: ['S8', 'CA']
name: b11902067, hole_card: ['SK', 'C8']
name: baseline1, hole_card: ['S8', 'CA']
name: b11902067, hole_card: ['SK', 'C8']
name: baseline1, hole_card: ['S8', 'CA']
name: b11902067, hole_card: ['SK', 'C8']
name: baseline1, hole_card: ['S8', 'CA']
name: b11902067, hole_card: ['SK', 'C8']
name: baseline1, hole_card: ['S8', 'CA']
name: b11902067, hole_card: ['SK', 'C8']
name: baseline1, hole_card: ['S8', 'CA']
name: b11902067, hole_card: ['SK', 'C8']
name: baseline1, hole_card: ['S8', 'CA']
name: b11902067, hole_card: ['SK', 'C8']
name: baseline1, hole_card: ['S8', 'CA']
name: b11902067, hole_card: ['SK', 'C8']
name: baseline1, hole_card: ['S8', 'CA']
name: b11902067, hole_card: ['SK', 'C8']
community cards of this round: ['S8', 'C5', 'DJ', 'D7', 'S3']
name: baseline1, hole_card: ['D6', 'H4']
name: b11902067, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['D6', 'H4']
name: b11902067, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['D6', 'H4']
name: b11902067, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['D6', 'H4']
name: b11902067, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['D6', 'H4']
name: b11902067, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['D6', 'H4']
name: b11902067, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['D6', 'H4']
name: b11902067, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['D6', 'H4']
name: b11902067, hole_card: ['SK', 'S5']
community cards of this round: ['HJ', 'SJ', 'C8', 'HA', 'SA']
name: baseline1, hole_card: ['S9', 'CA']
name: b11902067, hole_card: ['C2', 'C9']
name: baseline1, hole_card: ['S9', 'CA']
name: b11902067, hole_card: ['C2', 'C9']
name: baseline1, hole_card: ['S9', 'CA']
name: b11902067, hole_card: ['C2', 'C9']
name: baseline1, hole_card: ['S9', 'CA']
name: b11902067, hole_card: ['C2', 'C9']
name: baseline1, hole_card: ['S9', 'CA']
name: b11902067, hole_card: ['C2', 'C9']
name: baseline1, hole_card: ['S9', 'CA']
name: b11902067, hole_card: ['C2', 'C9']
name: baseline1, hole_card: ['S9', 'CA']
name: b11902067, hole_card: ['C2', 'C9']
community cards of this round: ['D6', 'SK', 'H3', 'C8', 'DQ']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902067, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902067, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902067, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902067, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902067, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902067, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902067, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902067, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['D9', 'SJ']
name: b11902067, hole_card: ['S2', 'DK']
community cards of this round: ['HA', 'C2', 'CK', 'CJ', 'D2']
name: baseline1, hole_card: ['S4', 'S5']
name: b11902067, hole_card: ['DA', 'CQ']
name: baseline1, hole_card: ['S4', 'S5']
name: b11902067, hole_card: ['DA', 'CQ']
name: baseline1, hole_card: ['S4', 'S5']
name: b11902067, hole_card: ['DA', 'CQ']
name: baseline1, hole_card: ['S4', 'S5']
name: b11902067, hole_card: ['DA', 'CQ']
name: baseline1, hole_card: ['S4', 'S5']
name: b11902067, hole_card: ['DA', 'CQ']
community cards of this round: ['D4', 'H8', 'HT', 'S4', 'SA']
name: baseline1, hole_card: ['H3', 'D9']
name: b11902067, hole_card: ['CA', 'HA']
name: baseline1, hole_card: ['H3', 'D9']
name: b11902067, hole_card: ['CA', 'HA']
name: baseline1, hole_card: ['H3', 'D9']
name: b11902067, hole_card: ['CA', 'HA']
name: baseline1, hole_card: ['H3', 'D9']
name: b11902067, hole_card: ['CA', 'HA']
name: baseline1, hole_card: ['H3', 'D9']
name: b11902067, hole_card: ['CA', 'HA']
name: baseline1, hole_card: ['H3', 'D9']
name: b11902067, hole_card: ['CA', 'HA']
name: baseline1, hole_card: ['H3', 'D9']
name: b11902067, hole_card: ['CA', 'HA']
community cards of this round: ['C8', 'S2', 'CT', 'CA', 'H9']
name: baseline1, hole_card: ['HJ', 'S4']
name: b11902067, hole_card: ['CK', 'HT']
name: baseline1, hole_card: ['HJ', 'S4']
name: b11902067, hole_card: ['CK', 'HT']
name: baseline1, hole_card: ['HJ', 'S4']
name: b11902067, hole_card: ['CK', 'HT']
community cards of this round: ['SQ', 'S6', 'C5', 'DK', 'S3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b11902067, hole_card: ['HA', 'CT']
name: baseline1, hole_card: ['DQ', 'C6']
name: b11902067, hole_card: ['HA', 'CT']
community cards of this round: ['S9', 'HA', 'DQ', 'C4', 'D6']
name: baseline1, hole_card: ['HQ', 'CQ']
name: b11902067, hole_card: ['C6', 'S6']
name: baseline1, hole_card: ['HQ', 'CQ']
name: b11902067, hole_card: ['C6', 'S6']
name: baseline1, hole_card: ['HQ', 'CQ']
name: b11902067, hole_card: ['C6', 'S6']
community cards of this round: ['CQ', 'H6', 'H5', 'D5', 'C8']
name: baseline1, hole_card: ['C9', 'S9']
name: b11902067, hole_card: ['H2', 'DA']
name: baseline1, hole_card: ['C9', 'S9']
name: b11902067, hole_card: ['H2', 'DA']
community cards of this round: ['D5', 'DT', 'H2', 'H7', 'S3']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['S4', 'D6']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['S4', 'D6']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['S4', 'D6']
community cards of this round: ['H3', 'S9', 'D5', 'C4', 'S5']
name: baseline1, hole_card: ['HA', 'C7']
name: b11902067, hole_card: ['C5', 'ST']
name: baseline1, hole_card: ['HA', 'C7']
name: b11902067, hole_card: ['C5', 'ST']
community cards of this round: ['H8', 'D2', 'DA', 'D5', 'CQ']
name: baseline1, hole_card: ['H6', 'DQ']
name: b11902067, hole_card: ['HJ', 'C2']
name: baseline1, hole_card: ['H6', 'DQ']
name: b11902067, hole_card: ['HJ', 'C2']
name: baseline1, hole_card: ['H6', 'DQ']
name: b11902067, hole_card: ['HJ', 'C2']
community cards of this round: ['S5', 'C4', 'D5', 'H8', 'D2']
name: baseline1, hole_card: ['CQ', 'S4']
name: b11902067, hole_card: ['H2', 'HK']
name: baseline1, hole_card: ['CQ', 'S4']
name: b11902067, hole_card: ['H2', 'HK']
community cards of this round: ['HQ', 'SJ', 'H3', 'C4', 'CT']
name: baseline1, hole_card: ['C3', 'SA']
name: b11902067, hole_card: ['DK', 'D5']
name: baseline1, hole_card: ['C3', 'SA']
name: b11902067, hole_card: ['DK', 'D5']
name: baseline1, hole_card: ['C3', 'SA']
name: b11902067, hole_card: ['DK', 'D5']
community cards of this round: ['H6', 'C7', 'DT', 'DK', 'H8']
name: baseline1, hole_card: ['CK', 'S7']
name: b11902067, hole_card: ['HJ', 'H4']
name: baseline1, hole_card: ['CK', 'S7']
name: b11902067, hole_card: ['HJ', 'H4']
community cards of this round: ['S6', 'S8', 'S2', 'H3', 'DA']
name: baseline1, hole_card: ['D4', 'CT']
name: b11902067, hole_card: ['D3', 'CK']
name: baseline1, hole_card: ['D4', 'CT']
name: b11902067, hole_card: ['D3', 'CK']
name: baseline1, hole_card: ['D4', 'CT']
name: b11902067, hole_card: ['D3', 'CK']
community cards of this round: ['DA', 'C5', 'SK', 'D9', 'H7']
name: baseline1, hole_card: ['C6', 'S4']
name: b11902067, hole_card: ['H6', 'S6']
name: baseline1, hole_card: ['C6', 'S4']
name: b11902067, hole_card: ['H6', 'S6']
community cards of this round: ['H7', 'H9', 'S9', 'H8', 'C7']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902067, hole_card: ['S6', 'C5']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902067, hole_card: ['S6', 'C5']
name: baseline1, hole_card: ['HA', 'D5']
name: b11902067, hole_card: ['S6', 'C5']
b11902067 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'htlehleteuadfdhhyoafbp', 'stack': 908.53125, 'state': 'participating'}, {'name': 'b11902067', 'uuid': 'eiaqmwpnsxnjjvcwuovlcn', 'stack': 1090, 'state': 'participating'}]}
community cards of this round: ['SJ', 'DA', 'HK', 'S4', 'DQ']
name: b11902067, hole_card: ['CK', 'S2']
name: baseline1, hole_card: ['SA', 'H7']
name: b11902067, hole_card: ['CK', 'S2']
name: baseline1, hole_card: ['SA', 'H7']
name: b11902067, hole_card: ['CK', 'S2']
name: baseline1, hole_card: ['SA', 'H7']
name: b11902067, hole_card: ['CK', 'S2']
name: baseline1, hole_card: ['SA', 'H7']
name: b11902067, hole_card: ['CK', 'S2']
name: baseline1, hole_card: ['SA', 'H7']
community cards of this round: ['D5', 'CT', 'S7', 'H5', 'D4']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
community cards of this round: ['S8', 'C5', 'DJ', 'D7', 'S3']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
b11902067 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b11902067', 'uuid': 'vluzevetfepqlwvdddbxev', 'stack': 1998, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'dmyujzckpezpsundckbtck', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['D9', 'CJ', 'SA', 'H4', 'D6']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
community cards of this round: ['CT', 'H4', 'D3', 'SJ', 'HA']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
