community cards of this round: ['D8', 'S8', 'HJ', 'S5', 'C3']
name: baseline1, hole_card: ['S3', 'C8']
name: b11902110, hole_card: ['H5', 'H6']
name: baseline1, hole_card: ['S3', 'C8']
name: b11902110, hole_card: ['H5', 'H6']
name: baseline1, hole_card: ['S3', 'C8']
name: b11902110, hole_card: ['H5', 'H6']
name: baseline1, hole_card: ['S3', 'C8']
name: b11902110, hole_card: ['H5', 'H6']
name: baseline1, hole_card: ['S3', 'C8']
name: b11902110, hole_card: ['H5', 'H6']
name: baseline1, hole_card: ['S3', 'C8']
name: b11902110, hole_card: ['H5', 'H6']
community cards of this round: ['DA', 'DQ', 'S2', 'H9', 'C5']
name: baseline1, hole_card: ['S6', 'S8']
name: b11902110, hole_card: ['S7', 'C4']
name: baseline1, hole_card: ['S6', 'S8']
name: b11902110, hole_card: ['S7', 'C4']
name: baseline1, hole_card: ['S6', 'S8']
name: b11902110, hole_card: ['S7', 'C4']
name: baseline1, hole_card: ['S6', 'S8']
name: b11902110, hole_card: ['S7', 'C4']
name: baseline1, hole_card: ['S6', 'S8']
name: b11902110, hole_card: ['S7', 'C4']
name: baseline1, hole_card: ['S6', 'S8']
name: b11902110, hole_card: ['S7', 'C4']
community cards of this round: ['H7', 'D5', 'C9', 'H2', 'D2']
name: baseline1, hole_card: ['CK', 'D4']
name: b11902110, hole_card: ['H8', 'H3']
name: baseline1, hole_card: ['CK', 'D4']
name: b11902110, hole_card: ['H8', 'H3']
name: baseline1, hole_card: ['CK', 'D4']
name: b11902110, hole_card: ['H8', 'H3']
name: baseline1, hole_card: ['CK', 'D4']
name: b11902110, hole_card: ['H8', 'H3']
name: baseline1, hole_card: ['CK', 'D4']
name: b11902110, hole_card: ['H8', 'H3']
name: baseline1, hole_card: ['CK', 'D4']
name: b11902110, hole_card: ['H8', 'H3']
community cards of this round: ['CT', 'D5', 'CQ', 'DJ', 'H5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
name: baseline1, hole_card: ['D3', 'HK']
name: b11902110, hole_card: ['D2', 'C5']
community cards of this round: ['C7', 'HA', 'D3', 'S7', 'S9']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902110, hole_card: ['H8', 'S3']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902110, hole_card: ['H8', 'S3']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902110, hole_card: ['H8', 'S3']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902110, hole_card: ['H8', 'S3']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902110, hole_card: ['H8', 'S3']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902110, hole_card: ['H8', 'S3']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902110, hole_card: ['H8', 'S3']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902110, hole_card: ['H8', 'S3']
name: baseline1, hole_card: ['HQ', 'D6']
name: b11902110, hole_card: ['H8', 'S3']
community cards of this round: ['C7', 'H4', 'C5', 'H7', 'D7']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
name: baseline1, hole_card: ['S6', 'DK']
name: b11902110, hole_card: ['S7', 'DA']
b11902110 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'rkgglujozergkwbalkkknf', 'stack': 0, 'state': 'folded'}, {'name': 'b11902110', 'uuid': 'tyceiaxpyxoqgiwyutyrkw', 'stack': 1999, 'state': 'participating'}]}
community cards of this round: ['D8', 'S8', 'HJ', 'S5', 'C3']
name: b11902110, hole_card: ['S3', 'C8']
name: baseline1, hole_card: ['H5', 'H6']
name: b11902110, hole_card: ['S3', 'C8']
name: baseline1, hole_card: ['H5', 'H6']
name: b11902110, hole_card: ['S3', 'C8']
name: baseline1, hole_card: ['H5', 'H6']
name: b11902110, hole_card: ['S3', 'C8']
name: baseline1, hole_card: ['H5', 'H6']
name: b11902110, hole_card: ['S3', 'C8']
name: baseline1, hole_card: ['H5', 'H6']
community cards of this round: ['DA', 'DQ', 'S2', 'H9', 'C5']
name: b11902110, hole_card: ['S6', 'S8']
name: baseline1, hole_card: ['S7', 'C4']
name: b11902110, hole_card: ['S6', 'S8']
name: baseline1, hole_card: ['S7', 'C4']
name: b11902110, hole_card: ['S6', 'S8']
name: baseline1, hole_card: ['S7', 'C4']
name: b11902110, hole_card: ['S6', 'S8']
name: baseline1, hole_card: ['S7', 'C4']
name: b11902110, hole_card: ['S6', 'S8']
name: baseline1, hole_card: ['S7', 'C4']
community cards of this round: ['H7', 'D5', 'C9', 'H2', 'D2']
name: b11902110, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H8', 'H3']
name: b11902110, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H8', 'H3']
name: b11902110, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H8', 'H3']
name: b11902110, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H8', 'H3']
name: b11902110, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H8', 'H3']
name: b11902110, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H8', 'H3']
name: b11902110, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H8', 'H3']
name: b11902110, hole_card: ['CK', 'D4']
name: baseline1, hole_card: ['H8', 'H3']
community cards of this round: ['CT', 'D5', 'CQ', 'DJ', 'H5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
name: b11902110, hole_card: ['D3', 'HK']
name: baseline1, hole_card: ['D2', 'C5']
community cards of this round: ['C7', 'HA', 'D3', 'S7', 'S9']
name: b11902110, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['H8', 'S3']
name: b11902110, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['H8', 'S3']
name: b11902110, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['H8', 'S3']
community cards of this round: ['C7', 'H4', 'C5', 'H7', 'D7']
name: b11902110, hole_card: ['S6', 'DK']
name: baseline1, hole_card: ['S7', 'DA']
name: b11902110, hole_card: ['S6', 'DK']
name: baseline1, hole_card: ['S7', 'DA']
community cards of this round: ['D3', 'HA', 'C9', 'SJ', 'H3']
name: b11902110, hole_card: ['H9', 'S2']
name: baseline1, hole_card: ['HK', 'CT']
name: b11902110, hole_card: ['H9', 'S2']
name: baseline1, hole_card: ['HK', 'CT']
name: b11902110, hole_card: ['H9', 'S2']
name: baseline1, hole_card: ['HK', 'CT']
community cards of this round: ['SA', 'S4', 'ST', 'CK', 'C9']
name: b11902110, hole_card: ['D8', 'S2']
name: baseline1, hole_card: ['H6', 'CQ']
name: b11902110, hole_card: ['D8', 'S2']
name: baseline1, hole_card: ['H6', 'CQ']
community cards of this round: ['D2', 'HK', 'D5', 'DA', 'CA']
name: b11902110, hole_card: ['D3', 'HT']
name: baseline1, hole_card: ['C7', 'S7']
name: b11902110, hole_card: ['D3', 'HT']
name: baseline1, hole_card: ['C7', 'S7']
name: b11902110, hole_card: ['D3', 'HT']
name: baseline1, hole_card: ['C7', 'S7']
community cards of this round: ['CK', 'S2', 'S9', 'SK', 'C2']
name: b11902110, hole_card: ['D3', 'CQ']
name: baseline1, hole_card: ['D2', 'D6']
name: b11902110, hole_card: ['D3', 'CQ']
name: baseline1, hole_card: ['D2', 'D6']
community cards of this round: ['D2', 'H4', 'H3', 'D5', 'H9']
name: b11902110, hole_card: ['C6', 'D7']
name: baseline1, hole_card: ['DT', 'C7']
name: b11902110, hole_card: ['C6', 'D7']
name: baseline1, hole_card: ['DT', 'C7']
name: b11902110, hole_card: ['C6', 'D7']
name: baseline1, hole_card: ['DT', 'C7']
community cards of this round: ['DJ', 'D2', 'S2', 'S5', 'DQ']
name: b11902110, hole_card: ['D3', 'DT']
name: baseline1, hole_card: ['D6', 'C2']
name: b11902110, hole_card: ['D3', 'DT']
name: baseline1, hole_card: ['D6', 'C2']
community cards of this round: ['DJ', 'S2', 'D9', 'H4', 'H7']
name: b11902110, hole_card: ['SJ', 'H5']
name: baseline1, hole_card: ['DQ', 'D4']
name: b11902110, hole_card: ['SJ', 'H5']
name: baseline1, hole_card: ['DQ', 'D4']
name: b11902110, hole_card: ['SJ', 'H5']
name: baseline1, hole_card: ['DQ', 'D4']
community cards of this round: ['H2', 'ST', 'CJ', 'C5', 'HQ']
name: b11902110, hole_card: ['C7', 'C6']
name: baseline1, hole_card: ['DK', 'CT']
name: b11902110, hole_card: ['C7', 'C6']
name: baseline1, hole_card: ['DK', 'CT']
community cards of this round: ['H2', 'H6', 'C9', 'D3', 'D7']
name: b11902110, hole_card: ['C2', 'CQ']
name: baseline1, hole_card: ['SA', 'S3']
name: b11902110, hole_card: ['C2', 'CQ']
name: baseline1, hole_card: ['SA', 'S3']
name: b11902110, hole_card: ['C2', 'CQ']
name: baseline1, hole_card: ['SA', 'S3']
community cards of this round: ['H5', 'H8', 'HK', 'CA', 'D5']
name: b11902110, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['D2', 'H4']
name: b11902110, hole_card: ['DA', 'H2']
name: baseline1, hole_card: ['D2', 'H4']
community cards of this round: ['DT', 'HK', 'C2', 'H5', 'CA']
name: b11902110, hole_card: ['H4', 'S7']
name: baseline1, hole_card: ['C8', 'S9']
name: b11902110, hole_card: ['H4', 'S7']
name: baseline1, hole_card: ['C8', 'S9']
name: b11902110, hole_card: ['H4', 'S7']
name: baseline1, hole_card: ['C8', 'S9']
community cards of this round: ['S3', 'HQ', 'C6', 'HK', 'S2']
name: b11902110, hole_card: ['H6', 'C3']
name: baseline1, hole_card: ['C2', 'DT']
name: b11902110, hole_card: ['H6', 'C3']
name: baseline1, hole_card: ['C2', 'DT']
community cards of this round: ['H2', 'CK', 'C9', 'H8', 'CJ']
name: b11902110, hole_card: ['CQ', 'S4']
name: baseline1, hole_card: ['CT', 'H9']
name: b11902110, hole_card: ['CQ', 'S4']
name: baseline1, hole_card: ['CT', 'H9']
name: b11902110, hole_card: ['CQ', 'S4']
name: baseline1, hole_card: ['CT', 'H9']
community cards of this round: ['H9', 'D3', 'S2', 'D2', 'CK']
name: b11902110, hole_card: ['H3', 'C5']
name: baseline1, hole_card: ['C9', 'DA']
name: b11902110, hole_card: ['H3', 'C5']
name: baseline1, hole_card: ['C9', 'DA']
b11902110 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b11902110', 'uuid': 'rhvtsbqfmwufiygshspclm', 'stack': 1145, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'gendzidzpxxunfbvzdlueg', 'stack': 855.0, 'state': 'participating'}]}
community cards of this round: ['C9', 'C6', 'DK', 'S8', 'CK']
name: baseline1, hole_card: ['H3', 'D5']
name: b11902110, hole_card: ['CT', 'H2']
name: baseline1, hole_card: ['H3', 'D5']
name: b11902110, hole_card: ['CT', 'H2']
name: baseline1, hole_card: ['H3', 'D5']
name: b11902110, hole_card: ['CT', 'H2']
name: baseline1, hole_card: ['H3', 'D5']
name: b11902110, hole_card: ['CT', 'H2']
name: baseline1, hole_card: ['H3', 'D5']
name: b11902110, hole_card: ['CT', 'H2']
community cards of this round: ['C8', 'S3', 'H6', 'S7', 'DK']
name: baseline1, hole_card: ['S5', 'HJ']
name: b11902110, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S5', 'HJ']
name: b11902110, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S5', 'HJ']
name: b11902110, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S5', 'HJ']
name: b11902110, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S5', 'HJ']
name: b11902110, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S5', 'HJ']
name: b11902110, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S5', 'HJ']
name: b11902110, hole_card: ['H9', 'D6']
name: baseline1, hole_card: ['S5', 'HJ']
name: b11902110, hole_card: ['H9', 'D6']
community cards of this round: ['DT', 'HT', 'SA', 'D8', 'C6']
name: baseline1, hole_card: ['S7', 'H8']
name: b11902110, hole_card: ['D5', 'DQ']
name: baseline1, hole_card: ['S7', 'H8']
name: b11902110, hole_card: ['D5', 'DQ']
name: baseline1, hole_card: ['S7', 'H8']
name: b11902110, hole_card: ['D5', 'DQ']
name: baseline1, hole_card: ['S7', 'H8']
name: b11902110, hole_card: ['D5', 'DQ']
name: baseline1, hole_card: ['S7', 'H8']
name: b11902110, hole_card: ['D5', 'DQ']
name: baseline1, hole_card: ['S7', 'H8']
name: b11902110, hole_card: ['D5', 'DQ']
