community cards of this round: ['HT', 'H2', 'D2', 'H9', 'CJ']
name: baseline1, hole_card: ['D9', 'H4']
name: b11902114, hole_card: ['CQ', 'H5']
name: baseline1, hole_card: ['D9', 'H4']
name: b11902114, hole_card: ['CQ', 'H5']
community cards of this round: ['S5', 'C6', 'ST', 'SQ', 'CT']
name: baseline1, hole_card: ['HQ', 'S6']
name: b11902114, hole_card: ['CJ', 'HJ']
name: baseline1, hole_card: ['HQ', 'S6']
name: b11902114, hole_card: ['CJ', 'HJ']
name: baseline1, hole_card: ['HQ', 'S6']
name: b11902114, hole_card: ['CJ', 'HJ']
name: baseline1, hole_card: ['HQ', 'S6']
name: b11902114, hole_card: ['CJ', 'HJ']
name: baseline1, hole_card: ['HQ', 'S6']
name: b11902114, hole_card: ['CJ', 'HJ']
name: baseline1, hole_card: ['HQ', 'S6']
name: b11902114, hole_card: ['CJ', 'HJ']
name: baseline1, hole_card: ['HQ', 'S6']
name: b11902114, hole_card: ['CJ', 'HJ']
name: baseline1, hole_card: ['HQ', 'S6']
name: b11902114, hole_card: ['CJ', 'HJ']
community cards of this round: ['HA', 'C5', 'C4', 'SQ', 'H9']
name: baseline1, hole_card: ['DQ', 'D8']
name: b11902114, hole_card: ['D6', 'HK']
name: baseline1, hole_card: ['DQ', 'D8']
name: b11902114, hole_card: ['D6', 'HK']
community cards of this round: ['DK', 'D7', 'H4', 'HT', 'H3']
name: baseline1, hole_card: ['C4', 'S7']
name: b11902114, hole_card: ['H2', 'S4']
name: baseline1, hole_card: ['C4', 'S7']
name: b11902114, hole_card: ['H2', 'S4']
name: baseline1, hole_card: ['C4', 'S7']
name: b11902114, hole_card: ['H2', 'S4']
name: baseline1, hole_card: ['C4', 'S7']
name: b11902114, hole_card: ['H2', 'S4']
name: baseline1, hole_card: ['C4', 'S7']
name: b11902114, hole_card: ['H2', 'S4']
community cards of this round: ['D9', 'CA', 'C7', 'DQ', 'S7']
name: baseline1, hole_card: ['H6', 'D3']
name: b11902114, hole_card: ['HA', 'H7']
name: baseline1, hole_card: ['H6', 'D3']
name: b11902114, hole_card: ['HA', 'H7']
name: baseline1, hole_card: ['H6', 'D3']
name: b11902114, hole_card: ['HA', 'H7']
name: baseline1, hole_card: ['H6', 'D3']
name: b11902114, hole_card: ['HA', 'H7']
name: baseline1, hole_card: ['H6', 'D3']
name: b11902114, hole_card: ['HA', 'H7']
