community cards of this round: ['H8', 'D2', 'CK', 'H3', 'C4']
name: baseline1, hole_card: ['HQ', 'H6']
name: t12902103, hole_card: ['DQ', 'HK']
name: baseline1, hole_card: ['HQ', 'H6']
name: t12902103, hole_card: ['DQ', 'HK']
name: baseline1, hole_card: ['HQ', 'H6']
name: t12902103, hole_card: ['DQ', 'HK']
name: baseline1, hole_card: ['HQ', 'H6']
name: t12902103, hole_card: ['DQ', 'HK']
name: baseline1, hole_card: ['HQ', 'H6']
name: t12902103, hole_card: ['DQ', 'HK']
name: baseline1, hole_card: ['HQ', 'H6']
name: t12902103, hole_card: ['DQ', 'HK']
name: baseline1, hole_card: ['HQ', 'H6']
name: t12902103, hole_card: ['DQ', 'HK']
name: baseline1, hole_card: ['HQ', 'H6']
name: t12902103, hole_card: ['DQ', 'HK']
name: baseline1, hole_card: ['HQ', 'H6']
name: t12902103, hole_card: ['DQ', 'HK']
community cards of this round: ['S6', 'C2', 'H6', 'SA', 'HJ']
name: baseline1, hole_card: ['HQ', 'CQ']
name: t12902103, hole_card: ['H2', 'S5']
name: baseline1, hole_card: ['HQ', 'CQ']
name: t12902103, hole_card: ['H2', 'S5']
name: baseline1, hole_card: ['HQ', 'CQ']
name: t12902103, hole_card: ['H2', 'S5']
community cards of this round: ['D5', 'S6', 'S9', 'SQ', 'S5']
name: baseline1, hole_card: ['DK', 'H8']
name: t12902103, hole_card: ['C8', 'HQ']
name: baseline1, hole_card: ['DK', 'H8']
name: t12902103, hole_card: ['C8', 'HQ']
name: baseline1, hole_card: ['DK', 'H8']
name: t12902103, hole_card: ['C8', 'HQ']
name: baseline1, hole_card: ['DK', 'H8']
name: t12902103, hole_card: ['C8', 'HQ']
name: baseline1, hole_card: ['DK', 'H8']
name: t12902103, hole_card: ['C8', 'HQ']
name: baseline1, hole_card: ['DK', 'H8']
name: t12902103, hole_card: ['C8', 'HQ']
name: baseline1, hole_card: ['DK', 'H8']
name: t12902103, hole_card: ['C8', 'HQ']
name: baseline1, hole_card: ['DK', 'H8']
name: t12902103, hole_card: ['C8', 'HQ']
name: baseline1, hole_card: ['DK', 'H8']
name: t12902103, hole_card: ['C8', 'HQ']
community cards of this round: ['C9', 'H8', 'S2', 'DQ', 'HJ']
name: baseline1, hole_card: ['H3', 'H2']
name: t12902103, hole_card: ['H9', 'C3']
name: baseline1, hole_card: ['H3', 'H2']
name: t12902103, hole_card: ['H9', 'C3']
name: baseline1, hole_card: ['H3', 'H2']
name: t12902103, hole_card: ['H9', 'C3']
community cards of this round: ['H5', 'S9', 'H4', 'DK', 'CA']
name: baseline1, hole_card: ['HJ', 'C3']
name: t12902103, hole_card: ['S3', 'CT']
name: baseline1, hole_card: ['HJ', 'C3']
name: t12902103, hole_card: ['S3', 'CT']
community cards of this round: ['D6', 'C8', 'CK', 'D4', 'C3']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
name: baseline1, hole_card: ['CA', 'CT']
name: t12902103, hole_card: ['HA', 'C5']
community cards of this round: ['HT', 'S5', 'S6', 'CT', 'HK']
name: baseline1, hole_card: ['D2', 'S3']
name: t12902103, hole_card: ['D5', 'CK']
name: baseline1, hole_card: ['D2', 'S3']
name: t12902103, hole_card: ['D5', 'CK']
name: baseline1, hole_card: ['D2', 'S3']
name: t12902103, hole_card: ['D5', 'CK']
name: baseline1, hole_card: ['D2', 'S3']
name: t12902103, hole_card: ['D5', 'CK']
name: baseline1, hole_card: ['D2', 'S3']
name: t12902103, hole_card: ['D5', 'CK']
name: baseline1, hole_card: ['D2', 'S3']
name: t12902103, hole_card: ['D5', 'CK']
name: baseline1, hole_card: ['D2', 'S3']
name: t12902103, hole_card: ['D5', 'CK']
community cards of this round: ['H9', 'HJ', 'C5', 'S9', 'D8']
name: baseline1, hole_card: ['S5', 'HK']
name: t12902103, hole_card: ['C8', 'S3']
name: baseline1, hole_card: ['S5', 'HK']
name: t12902103, hole_card: ['C8', 'S3']
name: baseline1, hole_card: ['S5', 'HK']
name: t12902103, hole_card: ['C8', 'S3']
community cards of this round: ['S4', 'HT', 'H9', 'C7', 'ST']
name: baseline1, hole_card: ['D9', 'D3']
name: t12902103, hole_card: ['SK', 'HQ']
name: baseline1, hole_card: ['D9', 'D3']
name: t12902103, hole_card: ['SK', 'HQ']
name: baseline1, hole_card: ['D9', 'D3']
name: t12902103, hole_card: ['SK', 'HQ']
name: baseline1, hole_card: ['D9', 'D3']
name: t12902103, hole_card: ['SK', 'HQ']
name: baseline1, hole_card: ['D9', 'D3']
name: t12902103, hole_card: ['SK', 'HQ']
name: baseline1, hole_card: ['D9', 'D3']
name: t12902103, hole_card: ['SK', 'HQ']
name: baseline1, hole_card: ['D9', 'D3']
name: t12902103, hole_card: ['SK', 'HQ']
name: baseline1, hole_card: ['D9', 'D3']
name: t12902103, hole_card: ['SK', 'HQ']
name: baseline1, hole_card: ['D9', 'D3']
name: t12902103, hole_card: ['SK', 'HQ']
community cards of this round: ['SQ', 'CT', 'HQ', 'SA', 'C8']
name: baseline1, hole_card: ['HT', 'DJ']
name: t12902103, hole_card: ['D8', 'HA']
name: baseline1, hole_card: ['HT', 'DJ']
name: t12902103, hole_card: ['D8', 'HA']
name: baseline1, hole_card: ['HT', 'DJ']
name: t12902103, hole_card: ['D8', 'HA']
name: baseline1, hole_card: ['HT', 'DJ']
name: t12902103, hole_card: ['D8', 'HA']
name: baseline1, hole_card: ['HT', 'DJ']
name: t12902103, hole_card: ['D8', 'HA']
name: baseline1, hole_card: ['HT', 'DJ']
name: t12902103, hole_card: ['D8', 'HA']
community cards of this round: ['SJ', 'D7', 'DA', 'HJ', 'S9']
name: baseline1, hole_card: ['DT', 'D4']
name: t12902103, hole_card: ['H5', 'H3']
name: baseline1, hole_card: ['DT', 'D4']
name: t12902103, hole_card: ['H5', 'H3']
community cards of this round: ['CA', 'HK', 'D3', 'CK', 'D2']
name: baseline1, hole_card: ['HT', 'HQ']
name: t12902103, hole_card: ['SA', 'ST']
