student1_id,student2_id,student1_wins,student2_wins,num_ties,student1_stack,student2_stack
b10902025,b10902100,2,3,0,4139.984375,5855
b10902102,b11705008,5,0,0,5345,4655
b12902098,b09602017,2,3,0,6985,3015
b11705006,b10902005,1,4,0,4918.597499796484,5071.1275801762185
b10902082,b11705008,5,0,0,5450,4550
b10902079,b10902044,3,2,0,6155,3845
b10902025,b11902143,2,3,0,4307.98046875,5675
b09902018,b10902004,0,5,0,4820,5180
b10902025,b12902104,1,4,0,2154.984375,7840
b09902122,b10902076,3,2,0,6000,4000
b09902122,b10902115,3,2,0,6000,4000
b09902122,b10902075,4,1,0,8225,1775
b09902122,b10902125,5,0,0,5400,4596.0
b09401140,b11902072,0,5,0,4180.0,5819.8
b11902111,b11902114,2,3,0,5215,4785
b10902076,b10902115,0,5,0,1478,8522
b11902113,b10202053,4,1,0,6903.0,3097.0
b09602017,b10902048,2,3,0,3864,6134.5
b11902069,b10902126,1,2,2,4955,5045
b09401140,b10505057,1,4,0,4927.312898131478,5068.2578256245415
b10902126,b10902121,4,1,0,7365,2635
b11902069,b10902121,3,2,0,5405,4595
b09701248,b11902114,0,5,0,1527.7146722850803,8462.5704
b11902043,b09602017,4,1,0,6955,3045
b10902086,b11705008,5,0,0,5360,4640
b10902107,t12902205,2,3,0,3630,6370
b11902035,b10902005,3,2,0,7478.359797174881,2514.648555025693
t12902205,b11902125,2,3,0,4260.0,5740.0
b10902107,b11902125,4,1,0,4850,5150.0
b10902070,b10902107,4,1,0,8134.0,1865
b09701248,b11902111,1,4,0,3636.2789512904283,6355.6096068085935
b11705006,b11902035,1,3,1,4900,5100
b10902039,b09605039,5,0,0,6211.081096004047,3764.849758173109
b10902073,b10201051,5,0,0,7110,2890
b10902108,b09303036,5,0,0,5280.389499999999,4715
b09303036,b10902059,0,5,0,4595,5405
b10401006,b11902001,5,0,0,5705,4295
b09303036,b10902027,0,5,0,4670,5330.0
b11902043,b12902098,3,2,0,5915,4085
b10902108,b10902059,3,2,0,5329.0,4669
b10902027,b10902059,2,3,0,3785.0,6215
b09303036,b10902067,0,5,0,4700,5300
b11901016,b09605039,3,2,0,3568.0,6405.128881207166
b10902025,b10902078,2,3,0,3935.9921875,6058
b10902059,b10902067,2,3,0,4520,5480
b10902102,b10902086,0,5,0,4441.194499017682,5557.068226469012
b11902009,b10902035,1,4,0,3664.0,6335.139999999999
b11705051,b12901024,2,3,0,4035,5965
b10902003,t12902105,4,1,0,7616,2384
b10b01041,b10201051,2,3,0,5001.64974432729,4988
b10902068,b10201051,3,2,0,4150.0,5850
b10902041,b10507008,2,3,0,4000,6000
b10202063,b10902013,1,4,0,3486.0,6514.0
b11902143,b10902078,3,2,0,4485,5515
b10902102,b10902072,2,3,0,3469.8371810913086,6512.261947631836
b10507008,b10902124,2,3,0,4000,6000
b10902075,b10902115,3,2,0,5609,4390
b09502074,b11902111,2,3,0,3585,6415
b11902057,t12902105,3,2,0,5731.0,4266.0
b10902101,b10902004,3,2,0,5760.0,4237.200000000001
b11902111,b11705011,2,3,0,4130,5870
b10902070,t12902205,3,2,0,5535,4464.0
b10902041,b10902124,3,2,0,5870,4130
t12902105,b10902123,0,5,0,3350,6646.515625
b10902003,b10902123,4,1,0,7612,2388
b09502074,b11902114,1,4,0,2140,7860
b10902072,b11705008,5,0,0,5666.094787597656,4310
b09701248,b11705011,0,5,0,1763.0947785415685,8227.429611790156
b10902039,b11901016,0,5,0,2986.4306640625,6986.5
b10902078,b10902100,2,3,0,4955,5045
b09701248,b09502074,0,5,0,3155.0769950924628,6835.0
b11902069,b10902135,3,2,0,6745,3255.0
b10902111,b10202053,4,1,0,5515.0,4485.0
b11902057,b10902003,1,4,0,2995.0,6995.0
b11902010,b10902044,2,3,0,4000.0,6000.0
b08209028,b10902118,0,5,0,2704.23579757004,7290.596
b10902003,b11902006,1,3,1,5052,4948
b10902076,b10902075,1,4,0,5121,4879
b11705011,b11902114,2,3,0,4530,5470
t12902105,b11902006,1,4,0,3886,6114
b11705031,b10902035,2,3,0,4884.34749,5111.631
b11902051,b10902045,3,2,0,3269.4368449990397,6718.494949722033
b09901028,b10902089,1,4,0,3370,6630
b11902057,b10902123,4,1,0,5301.0,4695.387152777778
b10902102,b10902082,0,5,0,4399.738873655348,5600
b10902042,b10902110,5,0,0,5314.82,4685
b11902067,b11902138,3,2,0,5055,4945
b10902086,b10902072,3,2,0,5535.0,4455.957168579102
b10505057,b11902072,1,4,0,4494.087475695163,5496.577569626336
b11902113,b10902111,0,5,0,2500,7500
b10902134,b10902059,4,1,0,7375,2625
b10902079,b11902010,5,0,0,9610.0,390.0
