student_dir,opponent,games_won,num_ties,student_stacks,opponent_stacks,points_earned
b09303036,baseline1,0,0,4250,5750,0.0
b09303036,baseline2,0,0,4550,5450,0.0
b09303036,baseline3,0,0,4565,5435.0,0.0
b09303036,baseline4,0,0,4280,5710.61,0.0
b09303036,baseline5,0,0,4595,5405,0.0
b09303036,baseline6,0,0,4460,5540.0,0.0
b09303036,baseline7,0,0,4625,5375,0.0
b09303036,strong1,0,2,4955,5045,0
b09303036,strong2,0,0,4760,5240,0
b09303036,strong3,0,4,4910,5090,0
b09303036,strong4,0,0,4580,5413.218333333333,0
b09303036,strong5,0,0,4595,5404.183333333333,0
b11902001,baseline1,0,0,4250,5750,0.0
b11902001,baseline2,0,0,4550,5449.75,0.0
b11902001,baseline3,0,0,4565,5434.25,0.0
b11902001,baseline4,0,0,4295,5695.290000000001,0.0
b11902001,baseline5,0,0,4580,5420,0.0
b11902001,baseline6,0,0,4445,5555.0,0.0
b11902001,baseline7,0,0,4625,5375,0.0
b11902001,strong1,0,2,4955,5045,0
b11902001,strong2,0,0,4745,5255,0
b11902001,strong3,0,4,4910,5090,0
b11902001,strong4,0,0,4610,5383.618333333333,0
b11902001,strong5,0,0,4580,5420,0
b10902059,baseline1,2,0,4000,6000,3.0
b10902059,baseline2,3,0,6000,4000,5
b10902059,baseline3,3,0,5485,4515,5
b10902059,baseline4,2,0,4000,5998.740000000001,3.0
b10902059,baseline5,3,0,6395,3605,5
b10902059,baseline6,1,0,2360,7640,1.5
b10902059,baseline7,1,0,2980,7020,1.5
b10902059,strong1,3,0,4075,1925,2
b10902059,strong2,1,0,2890,7110,0
b10902059,strong3,3,0,5320,2680,2
b10902059,strong4,3,0,4285,1707.3582666666666,2
b10902059,strong5,1,0,2895,7105.0,0
b11705008,baseline1,0,0,4250,5749.5,0.0
b11705008,baseline2,0,0,4550,5450,0.0
b11705008,baseline3,0,0,4565,5434.25,0.0
b11705008,baseline4,0,0,4295,5694.0199999999995,0.0
b11705008,baseline5,0,0,4595,5405,0.0
b11705008,baseline6,0,0,4460,5540.0,0.0
b11705008,baseline7,0,0,4655,5345,0.0
b11705008,strong1,0,2,4955,5045,0
b11705008,strong2,0,0,4730,5270,0
b11705008,strong3,0,4,4910,5090,0
b11705008,strong4,0,0,4595,5395.086666666666,0
b11705008,strong5,0,0,4595,5405,0
b09602017,baseline1,3,0,5700,4300,5
b09602017,baseline2,2,0,4000,6000,3.0
b09602017,baseline3,2,0,5850,4149.375,3.0
b09602017,baseline4,3,0,5685,309.87,5
b09602017,baseline5,1,1,3000,7000,1.5
b09602017,baseline6,1,0,2000,8000,1.5
b09602017,baseline7,1,0,2455,7545,1.5
b09602017,strong1,1,4,5005,4995,0
b09602017,strong2,1,0,4015,5985,0
b09602017,strong3,3,0,3965,4035,2
b09602017,strong4,3,0,4048,3937.2399333333333,2
b09602017,strong5,1,0,4070,5930,0
b10902025,baseline1,3,0,3063,4934.5078125,5
b10902025,baseline2,3,0,3301.9970703125,4689.1875,5
b10902025,baseline3,3,0,3361.25,2638.0,5
b10902025,baseline4,1,0,3309.7906231512316,6664.069360956095,1.5
b10902025,baseline5,3,0,4747,5253,5
b10902025,baseline6,3,0,3127.765625,2867.765625,5
b10902025,baseline7,3,0,6000,0,5
b10902025,strong1,3,0,4160.96875,3835,2
b10902025,strong2,3,0,3228,2772,2
b10902025,strong3,3,0,3344.984375,4650,2
b10902025,strong4,3,0,4839.4990234375,3141.133111111111,2
b10902025,strong5,2,0,4428.5625,5565,0
b10202063,baseline1,3,0,3470,4530,5
b10202063,baseline2,2,0,4624.0,5376.0,3.0
b10202063,baseline3,3,0,3381.0,4619.0,5
b10202063,baseline4,2,0,3734.108563013853,6253.218563013854,3.0
b10202063,baseline5,1,0,4540,5460,1.5
b10202063,baseline6,3,0,5091.0,4909.0,5
b10202063,baseline7,3,0,7985,2015,5
b10202063,strong1,2,0,4375,5625,0
b10202063,strong2,3,0,4444,3556,2
b10202063,strong3,3,0,3136,2864,2
b10202063,strong4,2,0,4106.44431111111,5881.637111111111,0
b10202063,strong5,3,0,6021.0,3978.0,2
b11705022,baseline1,0,0,4085.9801336124137,5912.480133612414,0.0
b11705022,baseline2,1,0,4841.245232641697,5157.995232641697,1.5
b11705022,baseline3,0,0,4569.745560467243,5430,0.0
b11705022,baseline4,0,0,4329.745083630085,5663.35,0.0
b11705022,baseline5,0,0,4594.755840241909,5405,0.0
b11705022,baseline6,0,0,4459.758276581764,5539.951655316353,0.0
b11705022,baseline7,0,0,4664.081367241306,5335.759416520596,0.0
b11705022,strong1,0,2,4969.7561829686165,5030,0
b11705022,strong2,0,0,4744.759744346142,5255,0
b11705022,strong3,0,4,4979.081697364721,5020.760616064072,0
b11705022,strong4,0,0,4637.98110424041,5354.274308106025,0
b11705022,strong5,0,0,4599.744189560413,5400,0
b10201051,baseline1,3,0,6000,4000,5
b10201051,baseline2,1,0,2570,7428.25,1.5
b10201051,baseline3,3,0,5936,4063.0625,5
b10201051,baseline4,3,0,5597,2393.71,5
b10201051,baseline5,1,0,3885,6115,1.5
b10201051,baseline6,3,0,6000,2000.0,5
b10201051,baseline7,1,0,3920,6080,1.5
b10201051,strong1,1,4,5015,4985,0
b10201051,strong2,0,0,4870,5130,0
b10201051,strong3,3,0,3875,2125,2
b10201051,strong4,2,0,4881,5103.452066666667,0
b10201051,strong5,0,0,3795,6205,0
b09605039,baseline1,3,0,5992.021110971187,3991.608608184142,5
b09605039,baseline2,3,0,7175.919237297584,2809.169201635742,5
b09605039,baseline3,2,0,6237.3652937054285,3729.376306655826,3.0
b09605039,baseline4,0,0,4832.786197648749,5135.0,0.0
b09605039,baseline5,2,0,5743.312602937904,4237.503563303505,3.0
b09605039,baseline6,3,0,7692.233843670042,2283.659412235739,5
b09605039,baseline7,1,0,4651.449304311359,5318.0,1.5
b09605039,strong1,0,0,3789.8695287949618,6186,0
b09605039,strong2,1,0,2733.599482470636,7235.450883508887,0
b09605039,strong3,3,0,4638.49146565083,3347.902785523891,2
b09605039,strong4,2,0,5302.7741346322455,4657.000227039877,0
b09605039,strong5,0,0,3337.381789213616,6628.0,0
b10202053,baseline1,3,0,3023.0,2976.5,5
b10202053,baseline2,3,0,4332.0,5668.0,5
b10202053,baseline3,3,0,3237.0,4761.5,5
b10202053,baseline4,0,0,3878.1568094564973,6098.742093143519,0.0
b10202053,baseline5,1,0,4600.495448338645,5399.495448338645,1.5
b10202053,baseline6,3,0,5276.0,4724.0,5
b10202053,baseline7,2,0,4050.0,5950.0,3.0
