Group,Student IDs
Group 1,"b10902025, b11902143, b10902078, b12902104, b10902100, b10902112"
Group 2,"b09401140, b07401120, b10902022, b10505057, b10902133, b11902072"
Group 3,"b10902122, b10902041, b11902027, b11902065, b10507008, b10902124"
Group 4,"b10201026, b08209028, b11902029, b09508001, b10505011, b10902118"
Group 5,"b11902140, b11902044, b10705013, b10902095, b08705058, r12246005"
Group 6,"b10401006, b10902113, b09303113, b10204022, b11902001, b10902032"
Group 7,"b10902019, r12922098, b10201054, b11902085, b11902078, b10902017"
Group 8,"b09303016, b11705006, b11902035, b10902005, b10902116, b10902087"
Group 9,"b10902037, b10902102, b10902086, b10902072, b10902082, b11705008"
Group 10,"b10505029, b06401036, b11902043, b12902098, b09602017, b10902048"
Group 11,"b10902079, b10401008, b11902010, b11902110, b10902132, b10902044"
Group 12,"b10902104, b09701248, b09502074, b11902111, b11705011, b11902114"
Group 13,"b10902024, b10902052, b11902051, b10705005, b10902085, b10902045"
Group 14,"b10902009, b11902156, b10902053, b10902109, b10902091, b10902127"
Group 15,"b11505050, b10202024, b09701214, b10902139, b10902114, b11902107"
Group 16,"b10902021, b10902051, b11705031, b10902077, b11902009, b10902035"
Group 17,"b09902018, b11902135, b10902101, b10902004, b11902106, b08501002"
Group 18,"b09902122, b11902132, b10902076, b10902075, b10902125, b10902115"
Group 19,"t12902155, b10902129, b11902113, b10902111, b10202053, b10705044"
Group 20,"b11902069, b10902135, b11705048, b10902126, b10902121, b09705029"
Group 21,"b10902049, b10902042, b09208022, b10902050, b11902048, b10902110"
Group 22,"b10902061, b10902031, b10902007, b10902063, b10902071, b10502058"
Group 23,"b10902070, b10902107, t12902205, b11902023, b09902002, b11902125"
Group 24,"b11705022, b10902039, b10902014, b11901016, b09605039, b10902002"
Group 25,"b10902068, b10902040, b10b01041, b09705002, b10902073, b10201051"
Group 26,"b10902134, b10902108, b09303036, b10902027, b10902059, b10902067"
Group 27,"b09901142, b10902074, b11902129, b11902158, b10902054, b11902127"
Group 28,"b10502010, b11902067, b10902057, b11902138, b10502042, b06401151"
Group 29,"b10902034, b11705051, b10902103, b10902012, b10902088, b12901024"
Group 30,"b11902057, b10902003, b11701242, t12902105, b11902006, b10902123"
Group 31,"b10902015, b10902010, b09901028, b09202004, b09203001, b10902089"
Group 32,"b11705057, b09705048, b10902138, t12902103, b11902087, b09902013"
Group 33,"b11902145, b10202063, b10902013, b10902020, b10902033, b11902155"
Group 34,"b09201009, b09902057, b11902047"
